method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO-guided DQN,3,303,500,9.516592453,0.019033185,52.539814273
PSO-guided DQN,3,303,1000,17.386293809,0.017386294,57.516570868
PSO-guided DQN,3,303,1500,26.056389119,0.017370926,57.567454690
PSO-guided DQN,3,303,2000,34.267932342,0.017133966,58.363603034
PSO-guided DQN,3,303,2500,42.722612593,0.017089045,58.517020572
PSO-guided DQN,3,303,3000,51.195608901,0.017065203,58.598775645
PSO-guided DQN,3,303,3500,59.329543300,0.016951298,58.992532309
PSO-guided DQN,3,303,4000,67.861358371,0.016965340,58.943706640
PSO-guided DQN,3,303,4500,76.276895393,0.016950421,58.995584139
PSO-guided DQN,3,303,5000,83.984076715,0.016796815,59.535095170
