method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO,2,202,500,26.821871450,0.053643743,18.641503108
PSO,2,202,1000,52.036822407,0.052036822,19.217161113
PSO,2,202,1500,76.523388918,0.051015593,19.601850117
PSO,2,202,2000,100.668372076,0.050334186,19.867213095
PSO,2,202,2500,124.878011444,0.049951205,20.019537235
PSO,2,202,3000,149.051363650,0.049683788,20.127289859
PSO,2,202,3500,173.059621827,0.049445606,20.224243894
PSO,2,202,4000,197.990928120,0.049497732,20.202945852
PSO,2,202,4500,222.144153538,0.049365367,20.257116509
PSO,2,202,5000,244.296249659,0.048859250,20.466953574
