method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO-guided DQN,4,404,500,9.265228222,0.018530456,53.965211438
PSO-guided DQN,4,404,1000,17.918110057,0.017918110,55.809457405
PSO-guided DQN,4,404,1500,26.340692681,0.017560462,56.946110650
PSO-guided DQN,4,404,2000,34.857061771,0.017428531,57.377182654
PSO-guided DQN,4,404,2500,42.746691141,0.017098676,58.484058842
PSO-guided DQN,4,404,3000,51.280142404,0.017093381,58.502177634
PSO-guided DQN,4,404,3500,59.810752594,0.017088786,58.517906032
PSO-guided DQN,4,404,4000,68.095402711,0.017023851,58.741116738
PSO-guided DQN,4,404,4500,76.738766069,0.017053059,58.640505060
PSO-guided DQN,4,404,5000,84.306669131,0.016861334,59.307289109
