method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
Regular DQN,3,303,500,8.991739333,0.017983479,55.606594175
Regular DQN,3,303,1000,17.491756711,0.017491757,57.169786691
Regular DQN,3,303,1500,25.279645072,0.016853097,59.336276112
Regular DQN,3,303,2000,33.870620229,0.016935310,59.048224877
Regular DQN,3,303,2500,42.008838836,0.016803536,59.511285465
Regular DQN,3,303,3000,49.966229899,0.016655410,60.040551510
Regular DQN,3,303,3500,58.412548260,0.016689300,59.918632285
Regular DQN,3,303,4000,66.428523415,0.016607131,60.215097286
Regular DQN,3,303,4500,74.607763235,0.016579503,60.315439103
Regular DQN,3,303,5000,82.377162342,0.016475432,60.696434034
