method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO-guided DQN,2,202,500,9.230299186,0.018460598,54.169425056
PSO-guided DQN,2,202,1000,17.402051804,0.017402052,57.464488170
PSO-guided DQN,2,202,1500,25.822053261,0.017214702,58.089880958
PSO-guided DQN,2,202,2000,33.814025555,0.016907013,59.147054135
PSO-guided DQN,2,202,2500,42.195474916,0.016878190,59.248059300
PSO-guided DQN,2,202,3000,50.484301498,0.016828100,59.424413352
PSO-guided DQN,2,202,3500,58.923387236,0.016835253,59.399164987
PSO-guided DQN,2,202,4000,67.175249105,0.016793812,59.545741226
PSO-guided DQN,2,202,4500,75.451951004,0.016767100,59.640604917
PSO-guided DQN,2,202,5000,83.021250522,0.016604250,60.225544286
