method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA-guided DQN,1,101,500,9.079805060,0.018159610,55.067261544
GA-guided DQN,1,101,1000,17.025791811,0.017025792,58.734419586
GA-guided DQN,1,101,1500,25.493639039,0.016995759,58.838206570
GA-guided DQN,1,101,2000,33.753140771,0.016876570,59.253745113
GA-guided DQN,1,101,2500,42.151851309,0.016860741,59.309376038
GA-guided DQN,1,101,3000,50.564474500,0.016854825,59.330192387
GA-guided DQN,1,101,3500,58.924191809,0.016835483,59.398353928
GA-guided DQN,1,101,4000,66.846237264,0.016711559,59.838820608
GA-guided DQN,1,101,4500,74.860390741,0.016635642,60.111895696
GA-guided DQN,1,101,5000,82.610964842,0.016522193,60.524653229
