method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
Regular DQN,2,202,500,8.815506745,0.017631013,56.718236904
Regular DQN,2,202,1000,17.050518557,0.017050519,58.649242641
Regular DQN,2,202,1500,25.224077610,0.016816052,59.466991149
Regular DQN,2,202,2000,33.275217992,0.016637609,60.104790312
Regular DQN,2,202,2500,41.638545496,0.016655418,60.040521834
Regular DQN,2,202,3000,49.893559547,0.016631187,60.128001033
Regular DQN,2,202,3500,57.832193296,0.016523484,60.519924985
Regular DQN,2,202,4000,66.061430362,0.016515358,60.549703179
Regular DQN,2,202,4500,74.785097408,0.016618911,60.172416109
Regular DQN,2,202,5000,81.942351779,0.016388470,61.018507420
