method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA-guided DQN,4,404,500,9.291825208,0.018583650,53.810741032
GA-guided DQN,4,404,1000,17.612156764,0.017612157,56.778963156
GA-guided DQN,4,404,1500,25.631312292,0.017087542,58.522169404
GA-guided DQN,4,404,2000,34.067674174,0.017033837,58.706678648
GA-guided DQN,4,404,2500,42.555528040,0.017022211,58.746774277
GA-guided DQN,4,404,3000,50.780881270,0.016926960,59.077352046
GA-guided DQN,4,404,3500,58.756294728,0.016787513,59.568085704
GA-guided DQN,4,404,4000,67.280808746,0.016820202,59.452317452
GA-guided DQN,4,404,4500,74.992296035,0.016664955,60.006163805
GA-guided DQN,4,404,5000,83.078009599,0.016615602,60.184398063
