method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
Regular DQN,5,505,500,9.317546951,0.018635094,53.662192705
Regular DQN,5,505,1000,17.446844126,0.017446844,57.316956167
Regular DQN,5,505,1500,26.070608073,0.017380405,57.536057303
Regular DQN,5,505,2000,34.378254847,0.017189127,58.176309674
Regular DQN,5,505,2500,42.188624907,0.016875450,59.257679185
Regular DQN,5,505,3000,50.290843192,0.016763614,59.653006583
Regular DQN,5,505,3500,58.775315494,0.016792947,59.548808383
Regular DQN,5,505,4000,67.500742011,0.016875186,59.258607844
Regular DQN,5,505,4500,75.779722623,0.016839938,59.382640161
Regular DQN,5,505,5000,83.379895271,0.016675979,59.966494126
