method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO,4,404,500,26.921249432,0.053842499,18.572689253
PSO,4,404,1000,52.977358544,0.052977359,18.875988299
PSO,4,404,1500,76.345650250,0.050897100,19.647484763
PSO,4,404,2000,101.243313429,0.050621657,19.754391004
PSO,4,404,2500,125.211589679,0.050084636,19.966202860
PSO,4,404,3000,148.779179794,0.049593060,20.164111700
PSO,4,404,3500,173.403979655,0.049543994,20.184081167
PSO,4,404,4000,198.010244530,0.049502561,20.200975003
PSO,4,404,4500,222.597209384,0.049466047,20.215886859
PSO,4,404,5000,244.733645277,0.048946729,20.430374395
