method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA,5,505,500,313.828286637,0.627656573,1.593227957
GA,5,505,1000,581.553050150,0.581553050,1.719533583
GA,5,505,1500,861.963763205,0.574642509,1.740212366
GA,5,505,2000,1134.163163134,0.567081582,1.763414705
GA,5,505,2500,1411.133393697,0.564453357,1.771625568
GA,5,505,3000,1671.234181073,0.557078060,1.795080566
GA,5,505,3500,1940.248418514,0.554356691,1.803892721
GA,5,505,4000,2232.527080691,0.558131770,1.791691592
GA,5,505,4500,2492.802331003,0.553956074,1.805197285
GA,5,505,5000,2746.468223310,0.549293645,1.820519880
