method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA,3,303,500,308.641871503,0.617283743,1.620000545
GA,3,303,1000,575.675015476,0.575675015,1.737091194
GA,3,303,1500,856.104826977,0.570736551,1.752121881
GA,3,303,2000,1124.755664179,0.562377832,1.778163973
GA,3,303,2500,1402.323398021,0.560929359,1.782755678
GA,3,303,3000,1681.437280709,0.560479094,1.784187870
GA,3,303,3500,1954.018719632,0.558291063,1.791180384
GA,3,303,4000,2222.365694726,0.555591424,1.799883795
GA,3,303,4500,2494.853976420,0.554411995,1.803712779
GA,3,303,5000,2743.131395472,0.548626279,1.822734415
