method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA,4,404,500,307.091828814,0.614183658,1.628177480
GA,4,404,1000,585.967429068,0.585967429,1.706579496
GA,4,404,1500,858.106402071,0.572070935,1.748034971
GA,4,404,2000,1119.454632690,0.559727316,1.786584236
GA,4,404,2500,1394.810274623,0.557924110,1.792358463
GA,4,404,3000,1677.347391655,0.559115797,1.788538269
GA,4,404,3500,1951.588617616,0.557596748,1.793410747
GA,4,404,4000,2222.115504918,0.555528876,1.800086445
GA,4,404,4500,2485.532452334,0.552340545,1.810477266
GA,4,404,5000,2736.162973213,0.547232595,1.827376530
