method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA-guided DQN,3,303,500,9.118557602,0.018237115,54.833233699
GA-guided DQN,3,303,1000,18.031673158,0.018031673,55.457970607
GA-guided DQN,3,303,1500,26.217867412,0.017478578,57.212891362
GA-guided DQN,3,303,2000,34.397306353,0.017198653,58.144087780
GA-guided DQN,3,303,2500,42.692710795,0.017077084,58.558005651
GA-guided DQN,3,303,3000,50.836356486,0.016945452,59.012883837
GA-guided DQN,3,303,3500,59.070227023,0.016877208,59.251507509
GA-guided DQN,3,303,4000,67.201257126,0.016800314,59.522696019
GA-guided DQN,3,303,4500,76.098963261,0.016910881,59.133525703
GA-guided DQN,3,303,5000,83.745621860,0.016749124,59.704613674
