method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO-guided DQN,1,101,500,9.411104340,0.018822209,53.128727717
PSO-guided DQN,1,101,1000,17.442436873,0.017442437,57.331438679
PSO-guided DQN,1,101,1500,25.691004056,0.017127336,58.386196068
PSO-guided DQN,1,101,2000,33.550558160,0.016775279,59.611526892
PSO-guided DQN,1,101,2500,42.058910824,0.016823564,59.440436070
PSO-guided DQN,1,101,3000,50.221864707,0.016740622,59.734938508
PSO-guided DQN,1,101,3500,58.254102190,0.016644029,60.081605731
PSO-guided DQN,1,101,4000,67.255264229,0.016813816,59.474898298
PSO-guided DQN,1,101,4500,75.649839329,0.016811075,59.484594282
PSO-guided DQN,1,101,5000,83.479348533,0.016695870,59.895052943
