method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO,1,101,500,26.386418657,0.052772837,18.949142227
PSO,1,101,1000,50.909873072,0.050909873,19.642555356
PSO,1,101,1500,75.428431400,0.050285621,19.886400554
PSO,1,101,2000,98.992049635,0.049496025,20.203642690
PSO,1,101,2500,124.610694329,0.049844278,20.062483509
PSO,1,101,3000,148.267615542,0.049422539,20.233683458
PSO,1,101,3500,172.848009180,0.049385145,20.249003831
PSO,1,101,4000,197.328683767,0.049332171,20.270747889
PSO,1,101,4500,221.802175179,0.049289372,20.288349275
PSO,1,101,5000,243.899222221,0.048779844,20.500270376
