method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA-guided DQN,2,202,500,9.259954486,0.018519909,53.995945742
GA-guided DQN,2,202,1000,17.185700240,0.017185700,58.187911230
GA-guided DQN,2,202,1500,25.271407491,0.016847605,59.355617630
GA-guided DQN,2,202,2000,33.744775744,0.016872388,59.268433584
GA-guided DQN,2,202,2500,41.902530982,0.016761012,59.662267204
GA-guided DQN,2,202,3000,50.310139197,0.016770046,59.630127205
GA-guided DQN,2,202,3500,58.441902572,0.016697686,59.888536238
GA-guided DQN,2,202,4000,66.784556980,0.016696139,59.894086011
GA-guided DQN,2,202,4500,75.261830847,0.016724851,59.791264036
GA-guided DQN,2,202,5000,82.736345728,0.016547269,60.432932540
