method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
PSO,3,303,500,27.549969984,0.055099940,18.148840100
PSO,3,303,1000,50.697985489,0.050697985,19.724649616
PSO,3,303,1500,76.048624604,0.050699083,19.724222599
PSO,3,303,2000,100.409178497,0.050204589,19.918497790
PSO,3,303,2500,125.005113750,0.050002046,19.999181833
PSO,3,303,3000,149.546202690,0.049848734,20.060689914
PSO,3,303,3500,174.217342486,0.049776384,20.089848405
PSO,3,303,4000,198.633998824,0.049658500,20.137539513
PSO,3,303,4500,222.956927622,0.049545984,20.183270589
PSO,3,303,5000,244.894807782,0.048978962,20.416929396
