method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
Regular DQN,4,404,500,9.741194971,0.019482390,51.328404931
Regular DQN,4,404,1000,17.785550507,0.017785551,56.225417346
Regular DQN,4,404,1500,26.133669884,0.017422447,57.397220009
Regular DQN,4,404,2000,34.383901094,0.017191951,58.166756428
Regular DQN,4,404,2500,42.702499172,0.017081000,58.544582834
Regular DQN,4,404,3000,51.023282798,0.017007761,58.796687228
Regular DQN,4,404,3500,59.155005625,0.016901430,59.166590604
Regular DQN,4,404,4000,67.368101715,0.016842025,59.375281449
Regular DQN,4,404,4500,75.609121586,0.016802027,59.516628491
Regular DQN,4,404,5000,82.991449995,0.016598290,60.247170043
