method,run,seed,test_scenarios,elapsed_seconds,seconds_per_scenario,scenarios_per_second
GA,1,101,500,301.275476775,0.602550954,1.659610684
GA,1,101,1000,572.337426222,0.572337426,1.747221052
GA,1,101,1500,848.889451663,0.565926301,1.767014535
GA,1,101,2000,1125.610883116,0.562805442,1.776812956
GA,1,101,2500,1392.878913062,0.557151565,1.794843742
GA,1,101,3000,1665.742029347,0.555247343,1.800999163
GA,1,101,3500,1931.022284002,0.551720653,1.812511450
GA,1,101,4000,2208.253211922,0.552063303,1.811386474
GA,1,101,4500,2488.970760277,0.553104613,1.807976241
GA,1,101,5000,2728.484294248,0.545696859,1.832519253
