model,metric,manuscript,e3_mean,e3_ci95_lo,e3_ci95_hi
Regular,max_level_m,5.495,6.2239231557732575,6.128343962675448,6.319502348871067
Regular,n_switches,85.46,39.29755555555556,31.335054761593724,47.2600563495174
Regular,n_intervals_100,308.25,307.1794814814815,299.5094372984139,314.8495256645491
Regular,n_intervals_170,19.79,21.031555555555556,18.56028045946033,23.502830651650783
Regular,n_dryrun_proxy,5.34,3.3038518518518516,-0.11292124820429583,6.720624951907999
GA-guided,max_level_m,5.607,6.0328468197444955,5.919814476644093,6.145879162844898
GA-guided,n_switches,91.5,34.1954074074074,28.2851539524498,40.105660862365
GA-guided,n_intervals_100,312.84,312.27777777777777,304.20566163207553,320.34989392348
GA-guided,n_intervals_170,18.97,18.762814814814814,17.537780196830145,19.987849432799482
GA-guided,n_dryrun_proxy,4.46,4.872518518518519,-0.5833850836356431,10.32842212067268
PSO-guided,max_level_m,5.637,6.204800750858131,6.000138202092806,6.4094632996234555
PSO-guided,n_switches,78.61,32.54318518518519,25.508088025793395,39.57828234457698
PSO-guided,n_intervals_100,449.48,307.63792592592597,303.5898134148009,311.686038437051
PSO-guided,n_intervals_170,19.16,19.331925925925923,17.521531591351014,21.14232026050083
PSO-guided,n_dryrun_proxy,0.8,2.1573333333333333,0.8042885417240326,3.5103781249426342
GA-only,max_level_m,5.783,6.337733876343194,6.337733876343194,6.337733876343194
GA-only,n_switches,43.66,72.06592592592592,72.06592592592592,72.06592592592592
GA-only,n_intervals_100,,257.62814814814817,257.62814814814817,257.62814814814817
GA-only,n_intervals_170,,45.123703703703704,45.123703703703704,45.123703703703704
GA-only,n_dryrun_proxy,0.05,0.3314814814814815,0.3314814814814815,0.3314814814814815
PSO-only,max_level_m,5.783,6.337712185918105,6.337699262565268,6.3377251092709415
PSO-only,n_switches,43.7,72.19177777777779,72.13152495347738,72.2520306020782
PSO-only,n_intervals_100,,257.5866666666667,257.544187256943,257.6291460763904
PSO-only,n_intervals_170,,45.14992592592593,45.128673405184905,45.17117844666695
PSO-only,n_dryrun_proxy,0.14,0.3359259259259259,0.33174889876611285,0.34010295308573896
