duration_int,return_period_int,model,n_seeds,max_level_m_mean,max_level_m_std,max_level_m_ci95_half
1080,20,GA-guided(4-criterion),5,5.9555,0.255,0.3167
1080,20,Regular(2-criterion),5,4.7686,0.0536,0.0665
1080,30,GA-guided(4-criterion),5,5.9749,0.2336,0.2901
1080,30,Regular(2-criterion),5,4.7401,0.0491,0.0609
1080,50,GA-guided(4-criterion),5,6.0122,0.1894,0.2352
1080,50,Regular(2-criterion),5,4.7381,0.0492,0.0612
1080,80,GA-guided(4-criterion),5,6.0173,0.1841,0.2286
1080,80,Regular(2-criterion),5,4.737,0.0441,0.0547
1080,100,GA-guided(4-criterion),5,6.0147,0.1871,0.2323
1080,100,Regular(2-criterion),5,4.7371,0.0394,0.0489
1440,10,GA-guided(4-criterion),5,5.9993,0.293,0.3638
1440,10,Regular(2-criterion),5,4.7772,0.1174,0.1458
1440,20,GA-guided(4-criterion),5,5.9813,0.278,0.3452
1440,20,Regular(2-criterion),5,4.7591,0.1,0.1241
1440,30,GA-guided(4-criterion),5,5.9782,0.2745,0.3408
1440,30,Regular(2-criterion),5,4.7589,0.0852,0.1058
1440,50,GA-guided(4-criterion),5,5.9775,0.2693,0.3344
1440,50,Regular(2-criterion),5,4.7485,0.0445,0.0553
1440,80,GA-guided(4-criterion),5,5.9741,0.2763,0.343
1440,80,Regular(2-criterion),5,4.7444,0.0443,0.0551
1440,100,GA-guided(4-criterion),5,5.9896,0.2545,0.316
1440,100,Regular(2-criterion),5,4.7536,0.0433,0.0538
