condition,scenario,n_decisions,a_forward_pass_s,b_preprocessing_s,c_env_step_overhead_s,d_swmm_reset_s,ab_s,abc_s,abc_d_s
Regular,10yr_0060m_h193,58,0.04518443322740495,0.0016100772190839052,0.0024723769165575504,0.037373485043644905,0.04679451044648886,0.04926688736304641,0.08664037240669131
Regular,10yr_0120m_h345,88,0.008563437964767218,0.0023783459328114986,0.0035463019739836454,0.05258073494769633,0.010941783897578716,0.014488085871562362,0.06706882081925869
Regular,10yr_0180m_h385,118,0.011444475967437029,0.00969219976104796,0.012623206013813615,0.06682412815280259,0.021136675728484988,0.0337598817422986,0.10058400989510119
Regular,10yr_0240m_h515,148,0.014643941074609756,0.00409190752543509,0.006123097613453865,0.08209028607234359,0.018735848600044847,0.02485894621349871,0.1069492322858423
Regular,10yr_0360m_h672,208,0.019778224639594555,0.005511972587555647,0.008332772180438042,0.11209344491362572,0.025290197227150202,0.033622969407588243,0.14571641432121396
Regular,10yr_0540m_h800,298,0.027745194733142853,0.00800634571351111,0.011443057330325246,0.1573945691343397,0.03575154044665396,0.04719459777697921,0.2045891669113189
Regular,10yr_0720m_h912,388,0.035858942894265056,0.010351275093853474,0.015064644627273083,0.20255947299301624,0.04621021798811853,0.06127486261539161,0.26383433560840786
Regular,10yr_1080m_h1061,568,0.05610606842674315,0.0958869990427047,0.08245963975787163,0.29488006816245615,0.15199306746944785,0.23445270722731948,0.5293327753897756
Regular,10yr_1440m_h1176,748,0.07381015061400831,0.05522051686421037,0.06023841258138418,0.39465455315075815,0.12903066747821867,0.18926908005960286,0.583923633210361
Regular,100yr_0060m_h140,58,0.006010711193084717,0.001733838114887476,0.0025906371884047985,0.041422950103878975,0.007744549307972193,0.010335186496376991,0.051758136600255966
Regular,100yr_0120m_h322,88,0.008299216628074646,0.002327161142602563,0.0033927990589290857,0.05816203588619828,0.010626377770677209,0.014019176829606295,0.07218121271580458
Regular,100yr_0180m_h465,118,0.011450942372903228,0.0032911126036196947,0.004812782630324364,0.07207225495949388,0.014742054976522923,0.019554837606847286,0.09162709256634116
Regular,100yr_0240m_h602,148,0.014894303865730762,0.02691824361681938,0.03470508265309036,0.0878837089985609,0.041812547482550144,0.0765176301356405,0.1644013391342014
Regular,100yr_0360m_h670,208,0.021024311427026987,0.019906045170500875,0.021987159736454487,0.12712371395900846,0.04093035659752786,0.06291751633398235,0.1900412302929908
Regular,100yr_0540m_h862,298,0.029600146925076842,0.019510698737576604,0.023120904807001352,0.17593233101069927,0.049110845662653446,0.0722317504696548,0.24816408148035407
Regular,100yr_0720m_h964,388,0.03604101808741689,0.010415287455543876,0.01508467854000628,0.21814986784011126,0.04645630554296076,0.06154098408296704,0.2796908519230783
Regular,100yr_1080m_h1077,568,0.057121741119772196,0.054104747250676155,0.05686686257831752,0.3083947610575706,0.11122648837044835,0.16809335094876587,0.47648811200633645
Regular,100yr_1440m_h1202,748,0.0762725006788969,0.11485912231728435,0.14394788048230112,0.41277121286839247,0.19113162299618125,0.33507950347848237,0.7478507163468748
Regular,20yr_0060m_h225,58,0.005848768865689635,0.0016739685088396072,0.0024491336662322283,0.038732605054974556,0.0075227373745292425,0.00997187104076147,0.04870447609573603
Regular,20yr_0120m_h366,88,0.008314362959936261,0.002304597059264779,0.003324600402265787,0.0546341089066118,0.01061896001920104,0.013943560421466827,0.06857766932807863
Regular,20yr_0180m_h435,118,0.011289460817351937,0.004580344771966338,0.006214746041223407,0.0731724719516933,0.015869805589318275,0.022084551630541682,0.09525702358223498
