duration_int,return_period_int,model,n_seeds,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half
1080,30,Regular(2-criterion),5,139.66,182.4795,226.5782
1080,50,GA-guided(4-criterion),5,0.324,0.4504,0.5593
1080,50,Regular(2-criterion),5,155.22,177.4633,220.3498
1080,80,GA-guided(4-criterion),5,0.196,0.2941,0.3651
1080,80,Regular(2-criterion),5,171.608,173.2917,215.1701
1080,100,GA-guided(4-criterion),5,0.12,0.1738,0.2158
1080,100,Regular(2-criterion),5,179.516,171.712,213.2086
1440,10,GA-guided(4-criterion),5,0.456,0.567,0.704
1440,10,Regular(2-criterion),5,123.78,245.0707,304.2955
1440,20,GA-guided(4-criterion),5,0.384,0.5086,0.6315
1440,20,Regular(2-criterion),5,131.628,262.0076,325.3254
1440,30,GA-guided(4-criterion),5,0.348,0.4599,0.5711
1440,30,Regular(2-criterion),5,133.416,263.6278,327.3372
1440,50,GA-guided(4-criterion),5,0.332,0.459,0.57
1440,50,Regular(2-criterion),5,138.7,261.6252,324.8506
1440,80,GA-guided(4-criterion),5,0.3,0.4243,0.5268
1440,80,Regular(2-criterion),5,153.412,255.5643,317.3249
1440,100,GA-guided(4-criterion),5,0.296,0.4208,0.5225
1440,100,Regular(2-criterion),5,172.416,247.0592,306.7645
