comparison,metric,seed_means_A,seed_means_B,seed_mean_diff,n_same_direction,seed_mean_of_diff,seed_sd_of_diff,seed_wilcoxon_p,scenario_n_pairs,scenario_mean_diff,scenario_wilcoxon_p,scenario_cliffs_delta
A3-A0,max_level_m,"[6.0014, 6.1578, 6.0645, 5.9082, 6.0323]","[6.2774, 6.0298, 6.0533, 6.2716, 6.3747]","[-0.276, 0.128, 0.0112, -0.3634, -0.3424]",3,-0.168514294363418,0.22360497912296,0.3125,13500,-0.16851429436341803,0.0,-0.40560057064471877
A3-A0,n_switches,"[27.1522, 34.9633, 32.7326, 40.1081, 36.0207]","[37.1648, 46.17, 37.3785, 25.8644, 52.1404]","[-10.0126, -11.2067, -4.6459, 14.2437, -16.1196]",4,-5.548222222222222,11.79234626115327,0.4375,13500,-5.548222222222222,4.822333512401664e-273,-0.05703446913580246
A3-A0,n_intervals_100,"[307.8381, 311.4137, 308.5852, 323.6496, 309.9022]","[307.0648, 309.3459, 307.9333, 289.4307, 301.4426]","[0.7733, 2.0678, 0.6519, 34.2189, 8.4596]",5,9.234296296296296,14.330345512592782,0.0625,13500,9.234296296296296,0.0,0.030398913580246933
A3-A0,n_intervals_170,"[19.9333, 18.1011, 19.5456, 18.6822, 17.5519]","[20.2985, 18.3463, 18.2504, 25.2726, 24.8256]","[-0.3652, -0.2452, 1.2952, -6.5904, -7.2737]",4,-2.6358518518518514,3.983470626282146,0.3125,13500,-2.635851851851852,0.0,-0.08217197256515774
A3-A0,U,"[53.3945, 53.4665, 53.4082, 55.5327, 53.0844]","[53.3707, 53.2085, 52.9623, 51.9366, 53.6947]","[0.0238, 0.258, 0.4459, 3.5961, -0.6103]",4,0.742710648148148,1.6441130180818906,0.4375,13500,0.7427106481481481,1.4986422422912786e-223,0.014804054869684391
A3-A0,n_dryrun_proxy,"[3.8307, 3.1648, 2.7381, 12.6411, 1.9878]","[4.3607, 1.2693, 4.1956, 0.0711, 3.2681]","[-0.53, 1.8956, -1.4574, 12.57, -1.2804]",2,2.2395555555555555,5.927990175189799,0.8125,13500,2.2395555555555555,5.461566006464485e-64,0.16623482578875182
A1-A0,max_level_m,"[5.9765, 5.9853, 6.3318, 6.2571, 6.1166]","[6.2774, 6.0298, 6.0533, 6.2716, 6.3747]","[-0.3009, -0.0445, 0.2786, -0.0145, -0.2581]",4,-0.06790853289515757,0.23125378631459403,0.4375,13500,-0.06790853289515757,1.0761619813560076e-237,-0.16631440329218106
A1-A0,n_switches,"[43.6915, 46.8685, 42.983, 43.1026, 31.6626]","[37.1648, 46.17, 37.3785, 25.8644, 52.1404]","[6.5267, 0.6985, 5.6044, 17.2381, -20.4778]",4,1.918,13.897793149659663,0.625,13500,1.918,3.91404988296115e-175,0.07317159945130314
A1-A0,n_intervals_100,"[302.5296, 313.2926, 305.787, 302.79, 308.3719]","[307.0648, 309.3459, 307.9333, 289.4307, 301.4426]","[-4.5352, 3.9467, -2.1463, 13.3593, 6.9293]",3,3.510740740740741,7.169529435880822,0.4375,13500,3.510740740740741,0.0,0.013929640603566495
A1-A0,n_intervals_170,"[22.7756, 18.4526, 20.2574, 23.0089, 19.2126]","[20.2985, 18.3463, 18.2504, 25.2726, 24.8256]","[2.477, 0.1063, 2.007, -2.2637, -5.613]",2,-0.6572592592592592,3.3408445064775023,1.0,13500,-0.6572592592592592,5.343861461957083e-27,-0.0014103045267489511
A1-A0,U,"[53.32, 53.8534, 53.1601, 53.4227, 53.2864]","[53.3707, 53.2085, 52.9623, 51.9366, 53.6947]","[-0.0507, 0.6449, 0.1978, 1.4861, -0.4082]",3,0.3739687499999999,0.730313840248722,0.4375,13500,0.37396875,6.045553049838278e-279,0.010682266117969741
A1-A0,n_dryrun_proxy,"[7.4211, 5.0807, 2.6748, 7.2163, 1.8985]","[4.3607, 1.2693, 4.1956, 0.0711, 3.2681]","[3.0604, 3.8115, -1.5207, 7.1452, -1.3696]",3,2.2253333333333334,3.68696774866532,0.3125,13500,2.2253333333333334,3.48727335111042e-265,0.22674947050754457
A3-A1,max_level_m,"[6.0014, 6.1578, 6.0645, 5.9082, 6.0323]","[5.9765, 5.9853, 6.3318, 6.2571, 6.1166]","[0.0249, 0.1726, -0.2674, -0.3488, -0.0843]",3,-0.10060576146826046,0.2121871604844609,0.4375,13500,-0.10060576146826047,0.0,-0.21399558847736622
A3-A1,n_switches,"[27.1522, 34.9633, 32.7326, 40.1081, 36.0207]","[43.6915, 46.8685, 42.983, 43.1026, 31.6626]","[-16.5393, -11.9052, -10.2504, -2.9944, 4.3581]",4,-7.466222222222224,8.209573760591342,0.1875,13500,-7.466222222222222,0.0,-0.13749842524005484
A3-A1,n_intervals_100,"[307.8381, 311.4137, 308.5852, 323.6496, 309.9022]","[302.5296, 313.2926, 305.787, 302.79, 308.3719]","[5.3085, -1.8789, 2.7981, 20.8596, 1.5304]",4,5.7235555555555555,8.848883632207578,0.1875,13500,5.7235555555555555,3.7973002541888456e-284,0.016731138545953428
A3-A1,n_intervals_170,"[19.9333, 18.1011, 19.5456, 18.6822, 17.5519]","[22.7756, 18.4526, 20.2574, 23.0089, 19.2126]","[-2.8422, -0.3515, -0.7119, -4.3267, -1.6607]",5,-1.9785925925925927,1.6288385790489124,0.0625,13500,-1.9785925925925927,0.0,-0.08767818930041149
A3-A1,U,"[53.3945, 53.4665, 53.4082, 55.5327, 53.0844]","[53.32, 53.8534, 53.1601, 53.4227, 53.2864]","[0.0745, -0.3869, 0.2481, 2.11, -0.202]",3,0.3687418981481482,1.0037540108569412,0.8125,13500,0.3687418981481482,2.772199156068026e-12,0.004283303155006912
A3-A1,n_dryrun_proxy,"[3.8307, 3.1648, 2.7381, 12.6411, 1.9878]","[7.4211, 5.0807, 2.6748, 7.2163, 1.8985]","[-3.5904, -1.9159, 0.0633, 5.4248, 0.0893]",3,0.014222222222222247,3.3912060647191886,1.0,13500,0.014222222222222223,8.643338916143134e-68,-0.06843988477366258
