return_period,model,n_seeds,max_level_m_mean,max_level_m_std,max_level_m_ci95_half,max_level_m_ci95_lo,max_level_m_ci95_hi,n_switches_mean,n_switches_std,n_switches_ci95_half,n_switches_ci95_lo,n_switches_ci95_hi,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half,n_intervals_100_ci95_lo,n_intervals_100_ci95_hi,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half,n_intervals_170_ci95_lo,n_intervals_170_ci95_hi,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half,n_dryrun_proxy_ci95_lo,n_dryrun_proxy_ci95_hi,cum_reward_mean,cum_reward_std,cum_reward_ci95_half,cum_reward_ci95_lo,cum_reward_ci95_hi,overflow_flag_mean,overflow_flag_std,overflow_flag_ci95_half,overflow_flag_ci95_lo,overflow_flag_ci95_hi,scope
10,GA-guided,5,5.97094010488331,0.11221893371243935,0.1393382099075509,5.831601894975758,6.110278314790861,33.41155555555555,4.696351460127003,5.8312905309513905,27.58026502460416,39.242846086506944,255.89466666666664,9.269936353611051,11.51014623591914,244.3845204307475,267.4048129025858,5.906666666666666,0.7425032734682798,0.9219395832140089,4.984727083452658,6.828606249880675,6.078222222222222,6.275056716088187,7.791512011053455,-1.7132897888312328,13.869734233275677,150.1965892064392,1.2955788128920582,1.6086735688036424,148.58791563763555,151.80526277524285,0.0,0.0,0.0,0.0,0.0,by_return_period
10,GA-only,5,6.315775469369231,0.0,0.0,6.315775469369231,6.315775469369231,66.80888888888889,0.0,0.0,66.80888888888889,66.80888888888889,202.0911111111111,0.0,0.0,202.0911111111111,202.0911111111111,30.606666666666666,0.0,0.0,30.606666666666666,30.606666666666666,0.2777777777777778,0.0,0.0,0.2777777777777778,0.2777777777777778,149.1786248325404,0.0,0.0,149.1786248325404,149.1786248325404,0.0,0.0,0.0,0.0,0.0,by_return_period
10,PSO-guided,5,6.0548640635502675,0.07671667766906372,0.09525633672347926,5.959607726826788,6.150120400273747,31.67866666666667,5.620712050142516,6.979035796932045,24.699630869734623,38.65770246359871,249.58755555555558,2.8644809065863086,3.5567228152503056,246.03083274030527,253.1442783708059,6.485777777777779,1.0391706094552307,1.2903007337520265,5.195477044025752,7.776078511529805,2.2448888888888887,1.178120914375468,1.462830324910921,0.7820585639779678,3.70771921379981,150.9483125349197,0.6357747861367279,0.7894186629116741,150.158893872008,151.73773119783138,0.0,0.0,0.0,0.0,0.0,by_return_period
10,PSO-only,5,6.315771768823785,2.7158956430973255e-05,3.3722298429124145e-05,6.315738046525356,6.315805491122214,67.00088888888888,0.12497505924022805,0.1551770317319741,66.8457118571569,67.15606592062086,202.02977777777778,0.07485953925375596,0.09295039481351043,201.93682738296428,202.12272817259128,30.66222222222222,0.044776537065799996,0.05559741403884037,30.60662480818338,30.71781963626106,0.2857777777777778,0.005794846582402347,0.0071952523764831295,0.2785825254012947,0.2929730301542609,149.1667181918632,0.008287229354571567,0.01028995433442895,149.15642823752876,149.17700814619764,0.0,0.0,0.0,0.0,0.0,by_return_period
10,Regular,5,6.0560402127177015,0.09661798520119266,0.11996707380330521,5.936073138914396,6.176007286521007,38.68088888888889,7.043562966230889,8.745738554250226,29.935150334638664,47.42662744313911,249.91333333333333,6.06554202029794,7.531365156196091,242.38196817713722,257.4446984895294,7.882666666666667,1.7495787147231605,2.1723889020953666,5.7102777645713,10.055055568762034,3.6173333333333333,3.0458141282264264,3.7818777482391437,-0.1645444149058104,7.399211081572477,150.3501848538384,0.4829665908421313,0.5996822281838834,149.75050262565452,150.9498670820223,0.0,0.0,0.0,0.0,0.0,by_return_period
20,GA-guided,5,5.986214114994598,0.09799905946501063,0.12168190399553376,5.864532210999064,6.107896018990132,34.33422222222222,4.7385426732980545,5.883677841386426,28.450544380835797,40.21790006360865,288.4391111111111,7.853210808325475,9.751049131002441,278.68806198010867,298.19016024211356,11.816444444444443,0.8985991841901259,1.1157582558241543,10.700686188620288,12.932202700268597,5.345333333333334,5.235634455168557,6.500898810737989,-1.1555654774046547,11.846232144071323,151.57001428819083,1.1626575872292173,1.4436300683009744,150.12638421988987,153.0136443564918,0.0,0.0,0.0,0.0,0.0,by_return_period
20,GA-only,5,6.3173357400445305,0.0,0.0,6.3173357400445305,6.3173357400445305,72.27555555555556,0.0,0.0,72.27555555555556,72.27555555555556,232.68,0.0,0.0,232.68,232.68,38.284444444444446,0.0,0.0,38.284444444444446,38.284444444444446,0.35777777777777775,0.0,0.0,0.35777777777777775,0.35777777777777775,150.03822316208016,0.0,0.0,150.03822316208016,150.03822316208016,0.0,0.0,0.0,0.0,0.0,by_return_period
20,PSO-guided,5,6.123834174168502,0.12393559705553155,0.15388636895974225,5.9699478052087604,6.277720543128244,32.879999999999995,5.712996446267207,7.093622009196049,25.786377990803945,39.97362200919604,283.448,3.49640647974531,4.3413620489861175,279.10663795101385,287.7893620489861,12.25377777777778,1.6412690061709212,2.0379046363301083,10.215873141447672,14.291682414107887,2.144444444444445,1.211529998915258,1.504313182396924,0.6401312620475208,3.648757626841369,152.33867517711874,0.6852018506746438,0.8507904694852984,151.48788470763344,153.18946564660405,0.0,0.0,0.0,0.0,0.0,by_return_period
20,PSO-only,5,6.317320065298085,4.251301959569398e-05,5.278688588690446e-05,6.3172672784121975,6.317372852183972,72.40888888888888,0.08491099188685844,0.10543092167768423,72.3034579672112,72.51431981056656,232.63511111111112,0.04053347953189509,0.05032896225668339,232.58478214885443,232.6854400733678,38.315111111111115,0.02869163426058462,0.03562536931099767,38.279485741800116,38.350736480422114,0.3595555555555555,0.00960966591575096,0.011931976202353796,0.3476235793532017,0.37148753175790933,150.03003928131656,0.00376046340692636,0.004669232028943142,150.02537004928763,150.0347085133455,0.0,0.0,0.0,0.0,0.0,by_return_period
20,Regular,5,6.147433665008417,0.07631406969333573,0.09475643289462814,6.052677232113789,6.242190097903045,39.68355555555555,6.8726055942648845,8.53346694025251,31.15008861530304,48.21702249580806,282.94488888888884,6.3366109257781815,7.867941657163407,275.07694723172546,290.8128305460522,13.993333333333334,2.002473778746653,2.486399598416774,11.50693373491656,16.479732931750107,3.5013333333333336,2.842104766924126,3.528939168212994,-0.027605834879660396,7.030272501546328,151.71832651118666,0.48849441391405246,0.606545927080728,151.11178058410593,152.3248724382674,0.0,0.0,0.0,0.0,0.0,by_return_period
30,GA-guided,5,6.001614240841869,0.10008106261372561,0.12426705234944004,5.877347188492429,6.125881293191309,34.403555555555556,4.981822414328038,6.185749537315693,28.217806018239862,40.58930509287125,305.352,6.054411227249256,7.517544451196084,297.8344555488039,312.8695444511961,16.009777777777778,0.9676962588450557,1.2015536058043788,14.8082241719734,17.211331383582156,4.9093333333333335,4.245224302992252,5.271142181325158,-0.3618088479918242,10.180475514658491,152.38243061572516,1.0254726930079126,1.2732925240489883,151.10913809167616,153.65572313977415,0.0,0.0,0.0,0.0,0.0,by_return_period
30,GA-only,5,6.329136160447317,0.0,0.0,6.329136160447317,6.329136160447317,72.09333333333333,0.0,0.0,72.09333333333333,72.09333333333333,250.70222222222225,3.1776437161565096e-14,3.945565801469966e-14,250.70222222222222,250.70222222222228,42.455555555555556,0.0,0.0,42.455555555555556,42.455555555555556,0.2577777777777778,0.0,0.0,0.2577777777777778,0.2577777777777778,150.80353349267932,0.0,0.0,150.80353349267932,150.80353349267932,0.0,0.0,0.0,0.0,0.0,by_return_period
30,PSO-guided,5,6.163861114436662,0.1548778425838854,0.1923062412558807,5.971554873180781,6.356167355692542,32.71244444444444,5.535764436935027,6.873559403878968,25.838885040565476,39.586003848323415,300.908,3.36433604698416,4.177374947399406,296.7306250526006,305.08537494739943,16.509333333333338,1.4820667917839063,1.8402289782914343,14.669104355041902,18.349562311624773,2.412444444444444,1.2574141602393263,1.5612858936007932,0.851158550843651,3.9737303380452373,153.16484796754798,0.7176293746654158,0.8910545585755288,152.27379340897247,154.0559025261235,0.0,0.0,0.0,0.0,0.0,by_return_period
30,PSO-only,5,6.3291244590168105,3.414463839697628e-05,4.239616822921141e-05,6.329082062848581,6.32916685518504,72.19733333333333,0.12561355592490459,0.15596983007830945,72.04136350325503,72.35330316341164,250.63377777777777,0.07596945455044027,0.09432853667845899,250.5394492410993,250.72810631445623,42.477777777777774,0.053794304164045834,0.06679445078891867,42.410983326988855,42.54457222856669,0.2644444444444444,0.004157397096415488,0.0051620903008559845,0.25928235414358847,0.2696065347453004,150.79395302270643,0.006912474616983558,0.008582970870405854,150.78537005183603,150.80253599357684,0.0,0.0,0.0,0.0,0.0,by_return_period
30,Regular,5,6.196302557095679,0.08233838324692477,0.10223660614801064,6.094065950947669,6.29853916324369,39.37733333333334,6.3671458807433226,7.9058558114303965,31.471477521902944,47.28318914476374,300.61822222222224,6.528048391553871,8.105642666324446,292.5125795558978,308.7238648885467,18.248444444444445,2.01641437050529,2.503709129317129,15.744735315127315,20.752153573761575,3.5053333333333336,3.04513074178563,3.7810292118987463,-0.27569587856541267,7.28636254523208,152.58072089339169,0.49941854835738864,0.6201100315305562,151.96061086186114,153.20083092492223,0.0,0.0,0.0,0.0,0.0,by_return_period
50,GA-guided,5,6.034821045025369,0.0846976404000631,0.10516601081756721,5.929655034207802,6.139987055842936,34.465777777777774,4.7152279182440004,5.854728749408868,28.611049028368907,40.320506527186645,327.088,7.324159177292702,9.094144767558065,317.99385523244194,336.1821447675581,21.553333333333335,1.1193593846923175,1.3898682490239709,20.163465084309365,22.943201582357304,4.981333333333334,4.795329414913105,5.954187894025134,-0.9728545606918004,10.935521227358468,153.34623662945654,1.0972761247393434,1.362448260177388,151.98378836927915,154.70868488963393,0.0,0.0,0.0,0.0,0.0,by_return_period
50,GA-only,5,6.330053263921294,0.0,0.0,6.330053263921294,6.330053263921294,73.2911111111111,0.0,0.0,73.2911111111111,73.2911111111111,271.6622222222222,0.0,0.0,271.6622222222222,271.6622222222222,48.284444444444446,0.0,0.0,48.284444444444446,48.284444444444446,0.37555555555555553,0.0,0.0,0.37555555555555553,0.37555555555555553,151.56068842362671,0.0,0.0,151.56068842362671,151.56068842362671,0.0,0.0,0.0,0.0,0.0,by_return_period
50,PSO-guided,5,6.237984497490239,0.1979042925790972,0.2457306351854498,5.992253862304789,6.483715132675689,32.76488888888889,5.624204393665684,6.983372114154123,25.78151677473477,39.74826100304301,322.13644444444446,3.526622768052755,4.378880526336817,317.7575639181076,326.5153249707813,22.07288888888889,1.5380759184332213,1.9097734944227238,20.163115394466168,23.982662383311613,2.0168888888888885,1.0674517943838648,1.3254164629044545,0.691472425984434,3.342305351793343,154.2983960312758,0.7396419231284097,0.9183867475107441,153.38000928376505,155.21678277878652,0.0,0.0,0.0,0.0,0.0,by_return_period
50,PSO-only,5,6.330053226386102,3.185566578454615e-05,3.95540333434825e-05,6.3300136723527585,6.330092780419446,73.376,0.11251776265808171,0.1397092550509762,73.23629074494903,73.51570925505098,271.6426666666667,0.06342877798398738,0.07875723007277681,271.5639094365939,271.72142389673945,48.288888888888884,0.044804100341456744,0.05563163836589592,48.23325725052299,48.34452052725478,0.3764444444444444,0.010012338067616724,0.012431959716404754,0.36401248472803965,0.3888764041608492,151.55430245682618,0.005515446475543383,0.006848331322702069,151.54745412550346,151.5611507881489,0.0,0.0,0.0,0.0,0.0,by_return_period
50,Regular,5,6.256809228255247,0.0901805889599897,0.11197399064843126,6.144835237606816,6.368783218903679,39.30488888888889,6.355046677374205,7.890832666200018,31.41405622268887,47.19572155508891,321.3062222222222,6.400854379699898,7.947710441018265,313.3585117812039,329.25393266324045,23.953777777777777,2.142180958569854,2.659868973893822,21.293908803883955,26.6136467516716,3.2324444444444445,2.711723792336883,3.3670498060172944,-0.13460536157284997,6.599494250461738,153.69364203828712,0.42705173272617813,0.5302547618966327,153.1633872763905,154.22389680018375,0.0,0.0,0.0,0.0,0.0,by_return_period
80,GA-guided,5,6.0821549709551475,0.0773571404106438,0.09605157625189013,5.986103394703258,6.178206547207037,34.330666666666666,4.871949289200701,6.04932403347494,28.281342633191727,40.379990700141605,344.24666666666667,4.6192661487607,5.735576475037526,338.51109019162914,349.9822431417042,27.27288888888889,1.1238617286771466,1.3954586474574624,25.877430241431426,28.668347536346353,3.8968888888888884,2.863177290621533,3.55510416223936,0.3417847266495282,7.451993051128248,154.46637253633446,0.7861627104674116,0.9761499343176763,153.4902226020168,155.44252247065214,0.0,0.0,0.0,0.0,0.0,by_return_period
80,GA-only,5,6.359651171052961,0.0,0.0,6.359651171052961,6.359651171052961,74.26666666666667,0.0,0.0,74.26666666666667,74.26666666666667,290.0622222222222,0.0,0.0,290.0622222222222,290.0622222222222,54.215555555555554,0.0,0.0,54.215555555555554,54.215555555555554,0.33111111111111113,0.0,0.0,0.33111111111111113,0.33111111111111113,152.35206301618743,0.0,0.0,152.35206301618743,152.35206301618743,0.0,0.0,0.0,0.0,0.0,by_return_period
80,PSO-guided,5,6.296158372117536,0.21318082577979325,0.26469895647811864,6.031459415639417,6.560857328595655,32.62488888888889,5.976610253601683,7.420941783192693,25.203947105696198,40.045830672081586,340.5293333333333,3.1925930480363856,3.9641278486624083,336.56520548467086,344.4934611819957,27.96666666666667,1.463984922002905,1.8177773715641563,26.148889295102514,29.784444038230824,2.0044444444444443,1.045069552886491,1.297625239438063,0.7068192050063813,3.3020696838825074,155.3421823371822,0.8131070676825676,1.0096057726264773,154.33257656455572,156.3517881098087,0.0,0.0,0.0,0.0,0.0,by_return_period
80,PSO-only,5,6.359620645189911,4.764583509721648e-05,5.916011810456716e-05,6.359561485071806,6.359679805308016,74.34,0.0924027683835184,0.11473319083617604,74.22526680916383,74.45473319083618,290.04711111111106,0.08752283652613627,0.10867395513517701,289.93843715597586,290.15578506624627,54.227111111111114,0.03666329950869399,0.04552349905530717,54.18158761205581,54.27263461016642,0.33644444444444443,0.006776866969767515,0.008414591736976576,0.3280298527074679,0.344859036181421,152.3465999220047,0.0065192674550999035,0.00809473969365904,152.33850518231105,152.35469466169837,0.0,0.0,0.0,0.0,0.0,by_return_period
80,Regular,5,6.323224565869042,0.09377269637353831,0.11643418110151542,6.206790384767527,6.439658746970557,39.443111111111115,6.231107465524373,7.736941808880331,31.706169302230784,47.18005291999145,339.86755555555555,6.063024262682501,7.528238947208798,332.33931660834673,347.3957945027644,29.70888888888889,2.053107851977545,2.5492701042299855,27.159618784658903,32.258158993118876,3.0204444444444443,2.410700118581404,2.9932795477080805,0.027164896736363797,6.013723992152524,154.7792327840314,0.36183665110362495,0.44927954290598826,154.3299532411254,155.2285123269374,0.0,0.0,0.0,0.0,0.0,by_return_period
100,GA-guided,5,6.1213364417666805,0.08025773923174481,0.09965314538128354,6.021683296385397,6.220989587147964,34.22666666666667,4.741300285265818,5.887101868887814,28.339564797778852,40.11376853555448,352.64622222222226,4.181866320905773,5.192472855969538,347.45374936625274,357.8386950781918,30.017777777777773,1.0773504307407524,1.3377072433001127,28.68007053447766,31.355485021077886,4.023999999999999,3.007415690556008,3.734199790596514,0.2898002094034853,7.758199790596513,154.93562347279675,0.7553717172190151,0.9379178665322072,153.99770560626453,155.87354133932897,0.0,0.0,0.0,0.0,0.0,by_return_period
100,GA-only,5,6.374451453223824,0.0,0.0,6.374451453223824,6.374451453223824,73.66,0.0,0.0,73.66,73.66,298.5711111111111,0.0,0.0,298.5711111111111,298.5711111111111,56.89555555555555,0.0,0.0,56.89555555555555,56.89555555555555,0.3888888888888889,0.0,0.0,0.3888888888888889,0.3888888888888889,152.83735475460503,0.0,0.0,152.83735475460503,152.83735475460503,0.0,0.0,0.0,0.0,0.0,by_return_period
100,PSO-guided,5,6.352102283385572,0.23359454312210465,0.29004593437157455,6.062056349013997,6.642148217757147,32.59822222222222,5.574550726513226,6.921718943272123,25.676503278950097,39.519941165494345,349.2182222222222,3.2911326430385737,4.086480916174205,345.131741306048,353.3047031383964,30.70311111111111,1.6332808759527822,2.0279860626252817,28.675125048485828,32.731097173736394,2.120888888888889,1.0378486770927686,1.2886593379294968,0.8322295509593922,3.409548226818386,155.8886620975633,0.8463911386986707,1.0509334053208301,154.83772869224248,156.93959550288412,0.0,0.0,0.0,0.0,0.0,by_return_period
