duration_int,return_period_int,model,max_level_m_mean,max_level_m_std,max_level_m_ci95_half
240,100,GA-only,6.3262,0.0,0.0
240,100,PSO-guided,6.42,0.3364,0.4177
240,100,PSO-only,6.3262,0.0,0.0
240,100,Regular,6.5062,0.256,0.3179
360,10,GA-guided,5.9995,0.0667,0.0828
360,10,GA-only,6.3014,0.0,0.0
360,10,PSO-guided,6.0808,0.1007,0.125
360,10,PSO-only,6.3014,0.0,0.0
360,10,Regular,6.0357,0.1323,0.1642
360,20,GA-guided,6.059,0.1148,0.1426
360,20,GA-only,6.3082,0.0,0.0
360,20,PSO-guided,6.2262,0.2516,0.3124
360,20,PSO-only,6.3082,0.0,0.0
360,20,Regular,6.0667,0.1298,0.1612
360,30,GA-guided,6.0558,0.1191,0.1478
360,30,GA-only,6.2953,0.0,0.0
360,30,PSO-guided,6.2101,0.2528,0.3139
360,30,PSO-only,6.2953,0.0,0.0
360,30,Regular,6.0883,0.1277,0.1585
360,50,GA-guided,6.0734,0.0979,0.1216
360,50,GA-only,6.3303,0.0,0.0
360,50,PSO-guided,6.2599,0.2337,0.2902
360,50,PSO-only,6.3303,0.0,0.0
360,50,Regular,6.1486,0.0931,0.1156
360,80,GA-guided,6.1054,0.0751,0.0932
360,80,GA-only,6.3045,0.0,0.0
360,80,PSO-guided,6.3369,0.2651,0.3291
360,80,PSO-only,6.3043,0.0005,0.0006
360,80,Regular,6.2846,0.1012,0.1257
360,100,GA-guided,6.1177,0.0898,0.1115
360,100,GA-only,6.3201,0.0,0.0
360,100,PSO-guided,6.3794,0.2466,0.3062
360,100,PSO-only,6.32,0.0001,0.0001
360,100,Regular,6.3673,0.1297,0.161
540,10,GA-guided,5.9517,0.137,0.1702
540,10,GA-only,6.3033,0.0,0.0
540,10,PSO-guided,6.0401,0.1754,0.2178
540,10,PSO-only,6.3032,0.0002,0.0002
540,10,Regular,6.0683,0.1087,0.135
540,20,GA-guided,5.998,0.0833,0.1034
540,20,GA-only,6.2991,0.0,0.0
540,20,PSO-guided,6.0957,0.1116,0.1386
540,20,PSO-only,6.2991,0.0001,0.0001
540,20,Regular,6.0751,0.1263,0.1568
540,30,GA-guided,6.0491,0.0925,0.1149
540,30,GA-only,6.3045,0.0,0.0
540,30,PSO-guided,6.1573,0.13,0.1614
540,30,PSO-only,6.3044,0.0002,0.0002
540,30,Regular,6.0725,0.1273,0.1581
540,50,GA-guided,6.082,0.1276,0.1584
540,50,GA-only,6.3032,0.0,0.0
540,50,PSO-guided,6.2777,0.2785,0.3458
540,50,PSO-only,6.3031,0.0001,0.0001
540,50,Regular,6.1031,0.1295,0.1608
540,80,GA-guided,6.0921,0.1201,0.1491
540,80,GA-only,6.2998,0.0,0.0
540,80,PSO-guided,6.251,0.2716,0.3373
540,80,PSO-only,6.2998,0.0,0.0
540,80,Regular,6.1051,0.1388,0.1723
540,100,GA-guided,6.0901,0.1315,0.1632
540,100,GA-only,6.3127,0.0,0.0
540,100,PSO-guided,6.2532,0.2781,0.3453
540,100,PSO-only,6.3127,0.0001,0.0002
540,100,Regular,6.1189,0.14,0.1738
720,10,GA-guided,5.9767,0.1993,0.2474
720,10,GA-only,6.2933,0.0,0.0
720,10,PSO-guided,5.9385,0.0947,0.1176
720,10,PSO-only,6.2933,0.0,0.0
720,10,Regular,6.0795,0.157,0.195
720,20,GA-guided,5.9891,0.1582,0.1965
720,20,GA-only,6.3042,0.0,0.0
720,20,PSO-guided,6.0473,0.1778,0.2207
720,20,PSO-only,6.3042,0.0,0.0
720,20,Regular,6.1045,0.109,0.1353
720,30,GA-guided,5.9799,0.1621,0.2012
720,30,GA-only,6.3057,0.0,0.0
720,30,PSO-guided,6.0432,0.184,0.2284
720,30,PSO-only,6.3057,0.0,0.0
720,30,Regular,6.0891,0.1057,0.1312
720,50,GA-guided,6.0266,0.1206,0.1497
720,50,GA-only,6.3032,0.0,0.0
720,50,PSO-guided,6.0827,0.1327,0.1648
720,50,PSO-only,6.3033,0.0001,0.0001
720,50,Regular,6.098,0.1132,0.1406
720,80,GA-guided,6.0498,0.1024,0.1272
720,80,GA-only,6.3001,0.0,0.0
720,80,PSO-guided,6.1135,0.0955,0.1186
720,80,PSO-only,6.3002,0.0001,0.0001
720,80,Regular,6.108,0.1147,0.1425
720,100,GA-guided,6.1025,0.1238,0.1537
720,100,GA-only,6.2898,0.0,0.0
720,100,PSO-guided,6.2117,0.1636,0.2031
720,100,PSO-only,6.2899,0.0001,0.0001
720,100,Regular,6.1116,0.123,0.1528
1080,10,GA-guided,5.9658,0.2693,0.3344
1080,10,GA-only,6.2904,0.0,0.0
1080,10,PSO-guided,5.8857,0.1055,0.131
1080,10,PSO-only,6.2905,0.0001,0.0002
1080,10,Regular,6.0846,0.1813,0.2251
1080,20,GA-guided,5.9555,0.255,0.3167
1080,20,GA-only,6.2933,0.0,0.0
1080,20,PSO-guided,5.8997,0.1329,0.165
1080,20,PSO-only,6.2932,0.0001,0.0002
1080,20,Regular,6.0801,0.1805,0.2242
1080,30,GA-guided,5.9749,0.2336,0.2901
1080,30,GA-only,6.2982,0.0,0.0
1080,30,PSO-guided,5.9247,0.1133,0.1406
1080,30,PSO-only,6.2983,0.0001,0.0002
1080,30,Regular,6.087,0.1551,0.1926
1080,50,GA-guided,6.0122,0.1894,0.2352
1080,50,GA-only,6.296,0.0,0.0
1080,50,PSO-guided,5.9911,0.0782,0.0971
1080,50,PSO-only,6.296,0.0002,0.0002
1080,50,Regular,6.1042,0.1332,0.1654
1080,80,GA-guided,6.0173,0.1841,0.2286
1080,80,GA-only,6.2925,0.0,0.0
1080,80,PSO-guided,6.0776,0.1807,0.2244
1080,80,PSO-only,6.2924,0.0001,0.0002
1080,80,Regular,6.1263,0.1118,0.1389
1080,100,GA-guided,6.0147,0.1871,0.2323
1080,100,GA-only,6.296,0.0,0.0
1080,100,PSO-guided,6.0686,0.1724,0.2141
1080,100,PSO-only,6.296,0.0001,0.0001
1080,100,Regular,6.1233,0.1119,0.1389
1440,10,GA-guided,5.9993,0.293,0.3638
1440,10,GA-only,6.301,0.0,0.0
1440,10,PSO-guided,5.8911,0.0683,0.0847
1440,10,PSO-only,6.301,0.0,0.0
1440,10,Regular,6.1158,0.1789,0.2221
1440,20,GA-guided,5.9813,0.278,0.3452
1440,20,GA-only,6.3015,0.0,0.0
1440,20,PSO-guided,5.8783,0.094,0.1167
1440,20,PSO-only,6.3014,0.0001,0.0002
1440,20,Regular,6.1066,0.1816,0.2254
1440,30,GA-guided,5.9782,0.2745,0.3408
1440,30,GA-only,6.2956,0.0,0.0
1440,30,PSO-guided,5.8854,0.095,0.118
1440,30,PSO-only,6.2955,0.0001,0.0001
1440,30,Regular,6.0958,0.1797,0.2232
1440,50,GA-guided,5.9775,0.2693,0.3344
1440,50,GA-only,6.2953,0.0,0.0
1440,50,PSO-guided,5.9025,0.1132,0.1405
1440,50,PSO-only,6.2953,0.0003,0.0004
1440,50,Regular,6.0974,0.1761,0.2187
1440,80,GA-guided,5.9741,0.2763,0.343
1440,80,GA-only,6.292,0.0,0.0
1440,80,PSO-guided,5.908,0.1361,0.169
1440,80,PSO-only,6.2921,0.0001,0.0002
1440,80,Regular,6.0934,0.1798,0.2232
1440,100,GA-guided,5.9896,0.2545,0.316
1440,100,GA-only,6.293,0.0,0.0
1440,100,PSO-guided,5.9154,0.1316,0.1634
1440,100,PSO-only,6.2928,0.0003,0.0003
1440,100,Regular,6.0994,0.1789,0.2221
