duration_int,return_period_int,model,n_seeds,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half
60,10,GA-guided(4-criterion),5,86.228,3.9696,4.9289
60,10,Regular(2-criterion),5,151.404,9.0784,11.2723
60,20,GA-guided(4-criterion),5,91.696,3.8315,4.7574
60,20,Regular(2-criterion),5,151.888,7.9413,9.8604
60,30,GA-guided(4-criterion),5,93.292,3.5329,4.3866
60,30,Regular(2-criterion),5,153.08,9.1546,11.367
60,50,GA-guided(4-criterion),5,97.2,3.0479,3.7844
60,50,Regular(2-criterion),5,154.0,7.8647,9.7653
60,80,GA-guided(4-criterion),5,100.304,2.9911,3.7139
60,80,Regular(2-criterion),5,154.932,7.0735,8.7829
60,100,GA-guided(4-criterion),5,100.864,2.6844,3.3331
60,100,Regular(2-criterion),5,154.02,7.7087,9.5716
120,10,GA-guided(4-criterion),5,131.352,3.624,4.4998
120,10,Regular(2-criterion),5,230.56,17.1783,21.3297
120,20,GA-guided(4-criterion),5,140.784,3.7531,4.6601
120,20,Regular(2-criterion),5,234.584,14.7004,18.253
120,30,GA-guided(4-criterion),5,145.752,3.4372,4.2679
120,30,Regular(2-criterion),5,235.972,12.772,15.8585
120,50,GA-guided(4-criterion),5,151.208,3.6747,4.5627
120,50,Regular(2-criterion),5,236.264,12.3683,15.3573
120,80,GA-guided(4-criterion),5,155.388,2.9084,3.6112
120,80,Regular(2-criterion),5,235.896,12.1226,15.0522
120,100,GA-guided(4-criterion),5,158.452,3.0446,3.7804
120,100,Regular(2-criterion),5,236.932,11.0819,13.76
180,10,GA-guided(4-criterion),5,168.736,3.5494,4.4072
180,10,Regular(2-criterion),5,316.9,23.1589,28.7555
180,20,GA-guided(4-criterion),5,182.064,3.1862,3.9562
180,20,Regular(2-criterion),5,317.832,23.0283,28.5934
180,30,GA-guided(4-criterion),5,188.344,3.75,4.6562
180,30,Regular(2-criterion),5,318.056,19.7671,24.5441
180,50,GA-guided(4-criterion),5,199.248,3.9651,4.9233
180,50,Regular(2-criterion),5,323.008,14.4511,17.9435
180,80,GA-guided(4-criterion),5,204.312,3.5271,4.3794
180,80,Regular(2-criterion),5,322.324,15.4826,19.2242
180,100,GA-guided(4-criterion),5,205.432,3.0681,3.8095
180,100,Regular(2-criterion),5,322.392,14.7244,18.2828
240,10,GA-guided(4-criterion),5,204.144,3.3432,4.1511
240,10,Regular(2-criterion),5,400.712,28.3985,35.2613
240,20,GA-guided(4-criterion),5,222.016,3.198,3.9708
240,20,Regular(2-criterion),5,401.752,23.6872,29.4116
240,30,GA-guided(4-criterion),5,230.828,3.3589,4.1707
240,30,Regular(2-criterion),5,403.196,25.2677,31.374
240,50,GA-guided(4-criterion),5,240.356,3.7082,4.6044
240,50,Regular(2-criterion),5,405.592,22.3227,27.7173
240,80,GA-guided(4-criterion),5,249.864,3.5062,4.3535
240,80,Regular(2-criterion),5,410.244,18.6005,23.0956
240,100,GA-guided(4-criterion),5,252.84,3.4078,4.2313
240,100,Regular(2-criterion),5,410.98,18.4436,22.9008
360,10,GA-guided(4-criterion),5,264.448,1.9439,2.4137
360,10,Regular(2-criterion),5,570.868,35.5945,44.1964
360,20,GA-guided(4-criterion),5,293.22,3.0279,3.7596
360,20,Regular(2-criterion),5,574.888,36.1907,44.9367
360,30,GA-guided(4-criterion),5,305.36,3.3599,4.1718
360,30,Regular(2-criterion),5,575.436,36.5162,45.3409
360,50,GA-guided(4-criterion),5,319.628,3.7218,4.6213
360,50,Regular(2-criterion),5,576.816,34.6117,42.9761
360,80,GA-guided(4-criterion),5,330.492,3.7147,4.6124
360,80,Regular(2-criterion),5,576.924,33.2825,41.3256
360,100,GA-guided(4-criterion),5,337.232,3.7781,4.6911
360,100,Regular(2-criterion),5,578.184,30.3187,37.6457
540,10,GA-guided(4-criterion),5,315.04,1.8252,2.2663
540,10,Regular(2-criterion),5,835.048,49.8643,61.9147
540,20,GA-guided(4-criterion),5,366.432,1.5277,1.8969
540,20,Regular(2-criterion),5,836.416,45.2865,56.2306
540,30,GA-guided(4-criterion),5,389.948,1.6878,2.0956
540,30,Regular(2-criterion),5,837.304,43.4199,53.9129
540,50,GA-guided(4-criterion),5,413.94,2.3372,2.902
540,50,Regular(2-criterion),5,837.832,45.5426,56.5486
540,80,GA-guided(4-criterion),5,432.808,2.921,3.6269
540,80,Regular(2-criterion),5,835.272,44.0303,54.6709
540,100,GA-guided(4-criterion),5,442.68,2.6362,3.2733
540,100,Regular(2-criterion),5,838.616,44.078,54.7301
720,10,GA-guided(4-criterion),5,336.336,3.0147,3.7432
720,10,Regular(2-criterion),5,1094.828,54.7692,68.005
720,20,GA-guided(4-criterion),5,391.34,2.4372,3.0261
720,20,Regular(2-criterion),5,1102.336,51.4101,63.8341
720,30,GA-guided(4-criterion),5,421.408,1.663,2.0649
720,30,Regular(2-criterion),5,1100.732,51.165,63.5298
720,50,GA-guided(4-criterion),5,461.12,1.8084,2.2454
720,50,Regular(2-criterion),5,1098.116,60.2321,74.788
720,80,GA-guided(4-criterion),5,494.66,2.9985,3.7231
720,80,Regular(2-criterion),5,1096.22,61.2231,76.0185
720,100,GA-guided(4-criterion),5,506.228,3.0611,3.8008
720,100,Regular(2-criterion),5,1098.236,61.3445,76.1692
1080,10,GA-guided(4-criterion),5,382.08,27.3772,33.9933
1080,10,Regular(2-criterion),5,1602.872,100.8369,125.2055
1080,20,GA-guided(4-criterion),5,434.176,17.5327,21.7697
1080,20,Regular(2-criterion),5,1606.968,80.5357,99.9983
1080,30,GA-guided(4-criterion),5,464.912,9.2508,11.4864
1080,30,Regular(2-criterion),5,1617.524,77.8439,96.656
1080,50,GA-guided(4-criterion),5,506.184,7.3102,9.0768
1080,50,Regular(2-criterion),5,1623.164,74.2409,92.1822
1080,80,GA-guided(4-criterion),5,544.632,4.7421,5.8881
1080,80,Regular(2-criterion),5,1624.204,70.4344,87.4559
