duration_int,return_period_int,model,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half
360,10,GA-guided,2.952,0.9671,1.2008
360,10,GA-only,21.72,0.0,0.0
360,10,PSO-guided,4.276,2.1143,2.6252
360,10,PSO-only,21.696,0.0555,0.0689
360,10,Regular,5.98,2.1816,2.7088
360,20,GA-guided,13.116,1.7129,2.1268
360,20,GA-only,29.16,0.0,0.0
360,20,PSO-guided,14.568,2.8553,3.5454
360,20,PSO-only,29.208,0.0756,0.0939
360,20,Regular,16.336,2.1695,2.6938
360,30,GA-guided,21.864,1.3952,1.7323
360,30,GA-only,36.42,0.0,0.0
360,30,PSO-guided,23.108,2.7102,3.3652
360,30,PSO-only,36.436,0.0477,0.0593
360,30,Regular,25.08,2.1454,2.6639
360,50,GA-guided,33.472,1.8465,2.2928
360,50,GA-only,47.38,0.0,0.0
360,50,PSO-guided,34.628,3.2902,4.0853
360,50,PSO-only,47.384,0.0167,0.0208
360,50,Regular,37.268,3.078,3.8218
360,80,GA-guided,45.468,1.7104,2.1238
360,80,GA-only,58.92,0.0,0.0
360,80,PSO-guided,46.648,2.3326,2.8963
360,80,PSO-only,58.92,0.0,0.0
360,80,Regular,48.544,2.2958,2.8506
360,100,GA-guided,49.692,1.5051,1.8688
360,100,GA-only,62.72,0.0,0.0
360,100,PSO-guided,50.568,2.4815,3.0812
360,100,PSO-only,62.752,0.1101,0.1367
360,100,Regular,52.364,2.205,2.7379
540,10,GA-guided,0.116,0.1824,0.2265
540,10,GA-only,30.48,0.0,0.0
540,10,PSO-guided,0.516,1.066,1.3236
540,10,PSO-only,30.576,0.1161,0.1442
540,10,Regular,2.368,2.3671,2.9392
540,20,GA-guided,1.976,0.5992,0.744
540,20,GA-only,31.3,0.0,0.0
540,20,PSO-guided,3.02,2.4224,3.0079
540,20,PSO-only,31.348,0.1316,0.1634
540,20,Regular,5.316,2.6081,3.2384
540,30,GA-guided,5.572,1.0258,1.2737
540,30,GA-only,33.0,0.0,0.0
540,30,PSO-guided,6.528,3.3758,4.1916
540,30,PSO-only,32.884,0.0876,0.1088
540,30,Regular,8.888,2.4114,2.9942
540,50,GA-guided,14.372,1.477,1.8339
540,50,GA-only,37.6,0.0,0.0
540,50,PSO-guided,15.116,3.8697,4.8048
540,50,PSO-only,37.64,0.1463,0.1816
540,50,Regular,17.884,2.1736,2.6989
540,80,GA-guided,24.784,1.8042,2.2402
540,80,GA-only,48.16,0.0,0.0
540,80,PSO-guided,26.108,3.3642,4.1772
540,80,PSO-only,48.204,0.1108,0.1376
540,80,Regular,28.516,2.2442,2.7865
540,100,GA-guided,29.048,1.4649,1.8189
540,100,GA-only,50.86,0.0,0.0
540,100,PSO-guided,30.312,3.1495,3.9106
540,100,PSO-only,50.956,0.1873,0.2326
540,100,Regular,32.868,2.6004,3.2288
720,10,GA-guided,0.124,0.1699,0.211
720,10,GA-only,35.98,0.0,0.0
720,10,PSO-guided,0.092,0.1947,0.2418
720,10,PSO-only,36.144,0.141,0.1751
720,10,Regular,2.072,2.0285,2.5187
720,20,GA-guided,0.116,0.1857,0.2306
720,20,GA-only,39.4,0.0,0.0
720,20,PSO-guided,0.424,0.8706,1.0809
720,20,PSO-only,39.396,0.1452,0.1803
720,20,Regular,2.636,2.8891,3.5873
720,30,GA-guided,0.096,0.1819,0.2258
720,30,GA-only,41.68,0.0,0.0
720,30,PSO-guided,0.628,1.3153,1.6332
720,30,PSO-only,41.676,0.1752,0.2175
720,30,Regular,2.924,3.524,4.3756
720,50,GA-guided,1.26,0.7596,0.9432
720,50,GA-only,44.96,0.0,0.0
720,50,PSO-guided,1.72,1.8613,2.3112
720,50,PSO-only,44.976,0.1519,0.1886
720,50,Regular,4.42,3.2862,4.0804
720,80,GA-guided,2.596,1.1544,1.4334
720,80,GA-only,40.98,0.0,0.0
720,80,PSO-guided,4.076,3.0991,3.848
720,80,PSO-only,40.948,0.2057,0.2554
720,80,Regular,6.44,3.2422,4.0257
720,100,GA-guided,6.152,1.3213,1.6406
720,100,GA-only,42.16,0.0,0.0
720,100,PSO-guided,7.692,4.8825,6.0624
720,100,PSO-only,42.268,0.2326,0.2889
