model,n_seeds,max_level_m_mean,max_level_m_std,max_level_m_ci95_half,max_level_m_ci95_lo,max_level_m_ci95_hi,n_switches_mean,n_switches_std,n_switches_ci95_half,n_switches_ci95_lo,n_switches_ci95_hi,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half,n_intervals_100_ci95_lo,n_intervals_100_ci95_hi,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half,n_intervals_170_ci95_lo,n_intervals_170_ci95_hi,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half,n_dryrun_proxy_ci95_lo,n_dryrun_proxy_ci95_hi,cum_reward_mean,cum_reward_std,cum_reward_ci95_half,cum_reward_ci95_lo,cum_reward_ci95_hi,overflow_flag_mean,overflow_flag_std,overflow_flag_ci95_half,overflow_flag_ci95_lo,overflow_flag_ci95_hi,scope
GA-guided,5,6.0328468197444955,0.0910329551826575,0.1130323431004028,5.919814476644093,6.145879162844898,34.1954074074074,4.759945898010714,5.9102534549576005,28.2851539524498,40.105660862365,312.27777777777777,6.501047108863304,8.072116145702246,304.20566163207553,320.34989392348,18.762814814814814,0.9866071817793273,1.2250346179846696,17.537780196830145,19.987849432799482,4.872518518518519,4.394025767072943,5.455903602154162,-0.5833850836356431,10.32842212067268,152.81621112482384,1.0172457721514339,1.263077452605427,151.55313367221842,154.07928857742925,0.0,0.0,0.0,0.0,0.0,overall
GA-only,5,6.337733876343194,0.0,0.0,6.337733876343194,6.337733876343194,72.06592592592592,0.0,0.0,72.06592592592592,72.06592592592592,257.62814814814817,0.0,0.0,257.62814814814817,257.62814814814817,45.123703703703704,0.0,0.0,45.123703703703704,45.123703703703704,0.3314814814814815,0.0,0.0,0.3314814814814815,0.3314814814814815,151.12841461361984,0.0,0.0,151.12841461361984,151.12841461361984,0.0,0.0,0.0,0.0,0.0,overall
PSO-guided,5,6.204800750858131,0.16482925256864694,0.2046625487653246,6.000138202092806,6.4094632996234555,32.54318518518519,5.665862237746285,7.035097159391792,25.508088025793395,39.57828234457698,307.63792592592597,3.2602318477311214,4.048112511125077,303.5898134148009,311.686038437051,19.331925925925923,1.4580388391657386,1.8103943345749096,17.521531591351014,21.14232026050083,2.1573333333333333,1.0897028451873143,1.3530447916093007,0.8042885417240326,3.5103781249426342,153.66351269093462,0.7304396275505419,0.906960588390876,152.75655210254374,154.5704732793255,0.0,0.0,0.0,0.0,0.0,overall
PSO-only,5,6.337712185918105,1.0408091766870937e-05,1.2923352836924672e-05,6.337699262565268,6.3377251092709415,72.19177777777779,0.048525868824065815,0.06025282430040106,72.13152495347738,72.2520306020782,257.5866666666667,0.034211678670825946,0.042479409723680264,257.544187256943,257.6291460763904,45.14992592592593,0.01711616087103001,0.021252520741021987,45.128673405184905,45.17117844666695,0.3359259259259259,0.00336405594899723,0.004177027159813067,0.33174889876611285,0.34010295308573896,151.11953211671204,0.0025483824603188005,0.003164234754631793,151.11636788195742,151.12269635146666,0.0,0.0,0.0,0.0,0.0,overall
Regular,5,6.2239231557732575,0.07697669678437752,0.0955791930978092,6.128343962675448,6.319502348871067,39.29755555555556,6.412766098945176,7.962500793961838,31.335054761593724,47.2600563495174,307.1794814814815,6.1772300672028555,7.670044183067618,299.5094372984139,314.8495256645491,21.031555555555556,1.990292945330022,2.4712750960952254,18.56028045946033,23.502830651650783,3.3038518518518516,2.7517694843363163,3.4167731000561474,-0.11292124820429583,6.720624951907999,153.06958108197514,0.4163086224629737,0.5169154286540782,152.55266565332107,153.58649651062922,0.0,0.0,0.0,0.0,0.0,overall
