duration_int,return_period_int,model,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half
60,10,GA-guided,86.228,3.9696,4.9289
60,10,GA-only,69.72,0.0,0.0
60,10,PSO-guided,83.232,3.5936,4.4621
60,10,PSO-only,69.72,0.0,0.0
60,10,Regular,84.02,2.3062,2.8635
60,20,GA-guided,91.696,3.8315,4.7574
60,20,GA-only,76.02,0.0,0.0
60,20,PSO-guided,89.328,4.3023,5.3421
60,20,PSO-only,76.02,0.0,0.0
60,20,Regular,90.004,2.4756,3.0738
60,30,GA-guided,93.292,3.5329,4.3866
60,30,GA-only,77.66,0.0,0.0
60,30,PSO-guided,92.012,4.0183,4.9894
60,30,PSO-only,77.64,0.0283,0.0351
60,30,Regular,92.132,2.0228,2.5117
60,50,GA-guided,97.2,3.0479,3.7844
60,50,GA-only,83.6,0.0,0.0
60,50,PSO-guided,96.472,4.219,5.2386
60,50,PSO-only,83.604,0.0089,0.0111
60,50,Regular,96.36,2.37,2.9428
60,80,GA-guided,100.304,2.9911,3.7139
60,80,GA-only,85.44,0.0,0.0
60,80,PSO-guided,99.252,4.4698,5.55
60,80,PSO-only,85.44,0.0,0.0
60,80,Regular,99.404,2.1256,2.6393
60,100,GA-guided,100.864,2.6844,3.3331
60,100,GA-only,87.56,0.0,0.0
60,100,PSO-guided,100.02,4.6673,5.7953
60,100,PSO-only,87.552,0.0179,0.0222
60,100,Regular,100.228,2.1625,2.6851
120,10,GA-guided,131.352,3.624,4.4998
120,10,GA-only,114.1,0.0,0.0
120,10,PSO-guided,128.328,4.1185,5.1138
120,10,PSO-only,114.096,0.0639,0.0793
120,10,Regular,128.472,3.6436,4.5241
120,20,GA-guided,140.784,3.7531,4.6601
120,20,GA-only,122.78,0.0,0.0
120,20,PSO-guided,138.728,4.0895,5.0778
120,20,PSO-only,122.768,0.111,0.1378
120,20,Regular,138.956,3.9042,4.8477
120,30,GA-guided,145.752,3.4372,4.2679
120,30,GA-only,128.18,0.0,0.0
120,30,PSO-guided,144.28,4.0459,5.0236
120,30,PSO-only,128.164,0.0167,0.0208
120,30,Regular,143.796,3.2207,3.999
120,50,GA-guided,151.208,3.6747,4.5627
120,50,GA-only,133.98,0.0,0.0
120,50,PSO-guided,149.344,3.5939,4.4624
120,50,PSO-only,133.988,0.0179,0.0222
120,50,Regular,149.308,2.9291,3.6369
120,80,GA-guided,155.388,2.9084,3.6112
120,80,GA-only,139.16,0.0,0.0
120,80,PSO-guided,154.252,3.283,4.0764
120,80,PSO-only,139.152,0.0438,0.0544
120,80,Regular,153.756,2.8725,3.5667
120,100,GA-guided,158.452,3.0446,3.7804
120,100,GA-only,140.8,0.0,0.0
120,100,PSO-guided,156.828,3.2366,4.0188
120,100,PSO-only,140.836,0.0537,0.0666
120,100,Regular,156.304,2.7832,3.4558
180,10,GA-guided,168.736,3.5494,4.4072
180,10,GA-only,149.42,0.0,0.0
180,10,PSO-guided,165.204,3.8289,4.7542
180,10,PSO-only,149.32,0.1334,0.1657
180,10,Regular,164.968,4.3427,5.3922
180,20,GA-guided,182.064,3.1862,3.9562
180,20,GA-only,162.78,0.0,0.0
180,20,PSO-guided,179.608,4.922,6.1115
180,20,PSO-only,162.76,0.0283,0.0351
180,20,Regular,179.42,4.0507,5.0296
180,30,GA-guided,188.344,3.75,4.6562
180,30,GA-only,168.84,0.0,0.0
180,30,PSO-guided,184.548,4.2935,5.331
180,30,PSO-only,168.82,0.0616,0.0765
180,30,Regular,185.068,3.7362,4.6392
180,50,GA-guided,199.248,3.9651,4.9233
180,50,GA-only,179.34,0.0,0.0
180,50,PSO-guided,195.516,3.6368,4.5157
180,50,PSO-only,179.336,0.0219,0.0272
180,50,Regular,195.896,3.7671,4.6774
180,80,GA-guided,204.312,3.5271,4.3794
180,80,GA-only,186.06,0.0,0.0
180,80,PSO-guided,201.448,3.4784,4.3189
180,80,PSO-only,186.012,0.146,0.1813
180,80,Regular,201.828,3.2425,4.026
180,100,GA-guided,205.432,3.0681,3.8095
180,100,GA-only,185.3,0.0,0.0
180,100,PSO-guided,203.032,3.2142,3.991
180,100,PSO-only,185.28,0.0837,0.1039
180,100,Regular,202.66,3.2467,4.0313
240,10,GA-guided,204.144,3.3432,4.1511
240,10,GA-only,178.94,0.0,0.0
240,10,PSO-guided,200.096,5.7447,7.133
240,10,PSO-only,178.96,0.04,0.0497
240,10,Regular,199.788,5.2257,6.4886
