duration_int,return_period_int,model,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half
360,10,GA-guided,2.504,1.6401,2.0364
360,10,GA-only,0.12,0.0,0.0
360,10,PSO-guided,1.56,1.4251,1.7695
360,10,PSO-only,0.132,0.0179,0.0222
360,10,Regular,2.304,2.5219,3.1314
360,20,GA-guided,1.98,1.6167,2.0074
360,20,GA-only,0.14,0.0,0.0
360,20,PSO-guided,1.796,1.2486,1.5503
360,20,PSO-only,0.14,0.0,0.0
360,20,Regular,2.74,2.4198,3.0045
360,30,GA-guided,1.976,1.3428,1.6673
360,30,GA-only,0.08,0.0,0.0
360,30,PSO-guided,1.808,1.2084,1.5005
360,30,PSO-only,0.08,0.0141,0.0176
360,30,Regular,3.664,3.0029,3.7286
360,50,GA-guided,2.396,2.0444,2.5385
360,50,GA-only,0.02,0.0,0.0
360,50,PSO-guided,2.016,1.668,2.071
360,50,PSO-only,0.024,0.0089,0.0111
360,50,Regular,4.692,5.1638,6.4118
360,80,GA-guided,2.148,1.6681,2.0713
360,80,GA-only,0.0,0.0,0.0
360,80,PSO-guided,1.284,0.7768,0.9646
360,80,PSO-only,0.004,0.0089,0.0111
360,80,Regular,3.024,2.7533,3.4187
360,100,GA-guided,2.3,1.7035,2.1151
360,100,GA-only,0.04,0.0,0.0
360,100,PSO-guided,0.912,0.8057,1.0004
360,100,PSO-only,0.032,0.011,0.0136
360,100,Regular,2.252,2.1791,2.7057
540,10,GA-guided,3.108,1.6945,2.104
540,10,GA-only,0.68,0.0,0.0
540,10,PSO-guided,3.048,1.7532,2.1769
540,10,PSO-only,0.712,0.0303,0.0377
540,10,Regular,3.732,3.6773,4.566
540,20,GA-guided,3.408,1.2963,1.6096
540,20,GA-only,0.32,0.0,0.0
540,20,PSO-guided,2.344,1.4454,1.7947
540,20,PSO-only,0.336,0.0261,0.0324
540,20,Regular,3.496,3.2702,4.0605
540,30,GA-guided,3.064,1.3938,1.7306
540,30,GA-only,0.4,0.0,0.0
540,30,PSO-guided,1.892,1.6295,2.0233
540,30,PSO-only,0.42,0.0283,0.0351
540,30,Regular,3.476,3.443,4.275
540,50,GA-guided,2.728,1.4735,1.8296
540,50,GA-only,0.26,0.0,0.0
540,50,PSO-guided,1.764,1.5329,1.9033
540,50,PSO-only,0.26,0.0141,0.0176
540,50,Regular,2.872,2.9704,3.6882
540,80,GA-guided,2.564,1.3225,1.642
540,80,GA-only,0.12,0.0,0.0
540,80,PSO-guided,2.168,1.4727,1.8286
540,80,PSO-only,0.136,0.0261,0.0324
540,80,Regular,3.564,2.6819,3.33
540,100,GA-guided,2.864,1.538,1.9097
540,100,GA-only,0.28,0.0,0.0
540,100,PSO-guided,2.18,1.5669,1.9456
540,100,PSO-only,0.292,0.0179,0.0222
540,100,Regular,4.288,3.2098,3.9855
720,10,GA-guided,4.424,1.9826,2.4617
720,10,GA-only,0.62,0.0,0.0
720,10,PSO-guided,5.128,4.4194,5.4875
720,10,PSO-only,0.632,0.0179,0.0222
720,10,Regular,5.172,4.7083,5.8461
720,20,GA-guided,3.868,2.1774,2.7036
720,20,GA-only,0.6,0.0,0.0
720,20,PSO-guided,3.48,1.886,2.3418
720,20,PSO-only,0.588,0.0303,0.0377
720,20,Regular,4.52,3.8516,4.7824
720,30,GA-guided,3.624,1.5801,1.9619
720,30,GA-only,0.6,0.0,0.0
720,30,PSO-guided,3.072,1.6336,2.0283
720,30,PSO-only,0.6,0.0245,0.0304
720,30,Regular,4.144,3.9655,4.9238
720,50,GA-guided,4.0,2.0584,2.5558
720,50,GA-only,0.48,0.0,0.0
720,50,PSO-guided,2.432,1.6917,2.1005
720,50,PSO-only,0.5,0.02,0.0248
720,50,Regular,3.468,3.2953,4.0917
