duration_int,return_period_int,model,n_seeds,n_switches_mean,n_switches_std,n_switches_ci95_half
1080,30,Regular(2-criterion),5,22.26,14.3202,17.7809
1080,50,GA-guided(4-criterion),5,63.224,13.2412,16.4411
1080,50,Regular(2-criterion),5,21.508,13.0597,16.2157
1080,80,GA-guided(4-criterion),5,64.672,12.8212,15.9196
1080,80,Regular(2-criterion),5,21.516,12.5604,15.5958
1080,100,GA-guided(4-criterion),5,65.716,11.8634,14.7303
1080,100,Regular(2-criterion),5,22.62,12.7161,15.7891
1440,10,GA-guided(4-criterion),5,78.24,14.2062,17.6394
1440,10,Regular(2-criterion),5,32.54,19.796,24.58
1440,20,GA-guided(4-criterion),5,83.544,15.747,19.5524
1440,20,Regular(2-criterion),5,27.408,16.5053,20.494
1440,30,GA-guided(4-criterion),5,86.204,17.136,21.2771
1440,30,Regular(2-criterion),5,24.092,16.6706,20.6993
1440,50,GA-guided(4-criterion),5,87.452,15.229,18.9093
1440,50,Regular(2-criterion),5,25.252,16.6025,20.6148
1440,80,GA-guided(4-criterion),5,86.868,16.7079,20.7456
1440,80,Regular(2-criterion),5,24.864,16.9529,21.0499
1440,100,GA-guided(4-criterion),5,85.488,16.2138,20.1321
1440,100,Regular(2-criterion),5,25.452,14.5152,18.023
