tag,overflow_rate,mean_max_level_m,action0_lock_rate,mean_n_intervals_100,mean_n_switches
G7_1,0.0,8.26495,0.0,235.05,14.33
G7_2,0.23335,8.7729,0.0,239.42000000000002,15.82
G9_1,0.15,8.84705,0.0,276.33000000000004,26.185
G9_2,0.2,8.74525,0.0,285.78499999999997,28.765
