regular_train_reward,ga_guided_train_reward,regular_test_reward,ga_guided_test_reward
30.073448311043467,17.03281767933027,107.13638374278517,108.77383909826366
39.27010246850745,43.72000019379472,34.4299658098257,33.88283054957263
27.801242300680375,111.00578842938612,126.0533972034979,126.17344714259713
128.43512507196675,97.97015329818323,222.51107390258124,220.4979813060055
72.21067524657893,69.87894182899261,99.90920339558443,99.05894790699679
41.35955784239447,43.417051709994496,22.71300512852027,22.864344892415325
72.22597592073254,29.013103992945705,22.923214440581063,23.034250864810552
34.67307539050245,96.76775358848838,38.36739300088874,37.78553208854978
158.21584887411808,23.154375561882148,23.158361334173307,23.3001662049816
78.59611124481563,72.89187407081378,54.61731368577195,54.14112447509425
22.766878428964592,37.87578576092468,106.17322990969495,107.25081952718239
128.3823265701159,99.84999711263606,34.63666008545405,34.96748297505309
81.10835616007644,100.26054162556129,36.651713224807956,36.6113436439818
93.50328014645262,107.29820056287605,48.730258997772616,48.753586945907585
157.2043295800647,71.8729819274286,168.24412194230425,162.9567671168372
74.1267687042395,110.81788280180034,101.63911937920602,100.43426384024063
52.92514540814694,56.61381492679742,49.45234169263028,48.83677568836343
32.40009481292858,30.667775561572657,229.12447033116013,223.41235390399876
130.9931727363198,22.2435902784564,129.45261003433748,127.51703169967305
69.42919668307924,66.6566343779244,25.413884309283503,25.543136671636706
50.099399700267114,54.27301044100839,52.21223191103607,52.8857240056502
40.73495608222622,54.13340769942297,219.4992354747547,217.33404761717796
95.2936910606835,40.03949227660001,36.94138879272528,36.27998716240742
47.5615537252984,19.57897477701357,228.36829561729593,223.22648023451225
104.41710076502534,79.48395982524087,69.97729405241381,71.27703951904694
129.25973001753664,20.430978475679105,219.94666179102597,211.59452778228763
60.11731027417449,111.3743632608759,73.55226921616062,74.56261577790288
50.40683359774724,51.9430741954686,52.12278941524692,52.31335459986597
52.496018980051424,19.660452129950865,81.03400744524257,80.65384691983076
41.11204195629214,104.90297042438857,80.09282498597506,80.2182410997919
161.45056606508655,86.8049675632172,105.69898155955494,104.4177116359071
121.52660401119768,55.18655442168089,122.85807051502519,122.6938137577262
53.721397122104094,58.916054260966675,34.892349062771906,34.610340398889676
57.30869107538038,101.40286562588463,36.80582217491591,36.51013557898357
96.78630642671263,64.29224620830905,95.53857647645435,96.3314414888936
162.7151689064499,37.98671104676274,25.009480463612043,24.786543467941023
19.361670019038453,155.90942813370313,108.53422978911851,107.60779972778602
131.38371200739132,117.48983932220527,52.76068423757049,53.03843691858015
42.113729055423775,47.709081133281785,77.4351776995429,77.08822678990697
155.19797663755287,155.6923704706859,38.024199062227495,37.856285881332546
89.12136573932148,26.830810764160045,80.57239276395589,80.52683640747168
106.24182679467853,107.09223355149673,76.74768805598012,77.6117522328739
58.618312767937816,77.98361741819983,171.18043989653268,174.38114542310421
50.57504950532152,54.00348985589252,222.15936010897178,213.87660697048986
120.79867533364832,97.8931769424156,47.48219309738092,47.228276635357744
83.69566858153094,17.866149198403125,212.55573187756153,217.0537718521057
156.4991591574085,34.73436527255994,54.460814980606244,54.880544186744686
66.60298283607119,59.24495521768711,25.588342680038767,25.49090616718965
72.30998238182941,151.3507289649548,70.91533583424429,70.30302592629533
90.67260801775127,55.07105737729624,226.5737153778149,221.2539404554062
131.02478861837233,191.9799628856816,47.07224257008969,46.49168695686995
18.313420241387913,193.66567822596048,96.37219000687097,94.42674618644622
51.28265342114108,30.998080570887492,47.44276718955234,47.280609183518116
19.815169827701755,28.487498574513747,81.4189143951611,80.47291109970578
21.222299527121436,48.7295582780604,49.51777544608582,49.20440110682354
120.85926347976799,18.6962379460107,173.27964783356572,168.24846464699203
37.79978826090009,57.36483605446447,37.76681886520957,37.95626756751311
43.51281870132328,148.51589631553543,49.18163721450254,48.47317991081313
50.80342555047892,16.986322995034897,36.35814905920199,36.38088393479359
157.08533413858288,35.12684381053199,168.5051062200814,162.59719871045723
129.38955640530472,41.0753335816011,76.77489757156007,77.5300969496626
27.396852369794527,93.50884120520227,131.0077347105159,133.66489495085438
78.64521366184181,108.3280315782627,45.495893916266105,45.266240473330704
22.225009265969796,64.69912348764944,225.00542591604324,216.0552506087222
126.89447174666249,190.86592595423724,124.24991272263907,126.0440800567295
87.21670907876185,194.7702970836103,105.91800830099933,108.00187295385209
94.92907494158842,46.69732055556284,49.06561344827537,48.359642482374596
129.63435593860783,188.92715816758871,38.4795944611578,38.052342073967665
163.8424909325378,193.64467849764324,25.361172592629163,25.206327014966977
30.0273650104357,41.792018957661355,35.203696622918685,35.065462281883626
43.695880210730564,17.169879685898014,31.095195581501535,32.397556585476075
60.43103975997115,192.74693845541307,25.504893421989358,25.497874378747238
155.68988182119892,51.96656606340059,71.38724149253883,71.45417812986415
37.46630588743607,187.01019811643638,37.94033978662209,38.08397730250074
21.065682968525905,37.234262000771835,57.35435170309657,57.1445813442191
66.19929783815425,46.49166298180467,133.31542917394682,133.12291251543422
42.078133754302144,31.158943838284273,98.36092464801558,100.0200174553635
84.56886653243625,76.59680409629767,48.450141483029185,48.40057963837917
20.54985038372526,83.80196893027174,219.88585408025978,212.79139689771108
85.90788221156367,18.66161606387693,36.26283951622465,36.04071780876486
74.4036305211961,49.322741665573275,226.4827407162396,221.26699174061724
59.35245124842059,186.50560557810095,134.8472462522036,132.96233542638805
56.10049378086702,107.74053596299203,180.30740939259042,176.96306382889355
154.51194740090068,43.16598374566536,98.94351874525739,100.0218286484976
71.06287084062922,101.80400273381167,74.73545326668409,74.06279405733736
48.863484663014766,89.44547569318854,60.03494105665648,59.6930240267143
27.954377033176357,33.89992813310865,59.748976726847694,59.48007364125696
93.25666068245964,40.442162879682115,127.51585370382233,129.76145680708908
