seed,scenario_id,Regular_cum_reward,GA-guided_cum_reward,diff_GA_minus_Regular
1,100yr_0180m_h405,66.120271,67.542625,1.422355
1,100yr_0180m_h409,64.438201,67.489039,3.050838
1,100yr_0180m_h412,66.479972,67.938727,1.458755
1,100yr_0180m_h415,65.348812,67.491373,2.142561
1,100yr_0180m_h417,64.448409,67.496093,3.047685
1,100yr_0180m_h420,64.569709,67.471843,2.902135
1,100yr_0180m_h424,66.446179,67.751317,1.305138
1,100yr_0180m_h428,65.347636,67.504307,2.156672
1,100yr_0180m_h430,64.653714,67.661160,3.007446
1,100yr_0180m_h433,64.952838,67.839579,2.886741
1,100yr_0180m_h436,66.207506,67.618811,1.411305
1,100yr_0180m_h437,65.921977,67.522365,1.600388
1,100yr_0180m_h438,65.907665,67.848723,1.941058
1,100yr_0180m_h440,66.688488,67.690605,1.002117
1,100yr_0180m_h443,66.248964,67.925115,1.676151
1,100yr_0180m_h444,65.767044,67.712062,1.945018
1,100yr_0180m_h445,66.849925,68.024957,1.175032
1,100yr_0180m_h447,65.861953,67.814839,1.952886
1,100yr_0180m_h453,65.780966,67.749249,1.968284
1,100yr_0180m_h459,65.765301,67.725674,1.960373
1,100yr_0180m_h460,66.723070,67.723501,1.000431
1,100yr_0180m_h465,67.303032,68.160694,0.857662
1,100yr_0180m_h466,67.364124,67.976077,0.611953
1,100yr_0180m_h468,67.403315,68.018459,0.615144
1,100yr_0180m_h469,67.436469,68.023418,0.586948
1,100yr_0180m_h470,67.592077,68.251320,0.659243
1,100yr_0180m_h472,67.553467,68.206772,0.653305
1,100yr_0180m_h473,67.138308,67.944909,0.806601
1,100yr_0180m_h474,67.534311,68.096091,0.561780
1,100yr_0180m_h476,67.504802,68.194609,0.689807
1,100yr_0180m_h479,67.196209,68.029657,0.833448
1,100yr_0180m_h480,67.378156,67.953285,0.575129
1,100yr_0180m_h483,67.462795,68.072935,0.610139
1,100yr_0180m_h484,67.307072,68.115604,0.808532
1,100yr_0180m_h490,67.509774,68.009098,0.499324
1,100yr_0180m_h491,67.340728,67.967051,0.626323
1,100yr_0180m_h493,67.497499,68.102186,0.604686
1,100yr_0180m_h495,67.074655,68.017781,0.943127
1,100yr_0240m_h497,82.023622,83.523681,1.500059
1,100yr_0240m_h508,81.972283,83.941791,1.969508
1,100yr_0240m_h512,81.885226,84.325462,2.440236
1,100yr_0240m_h513,82.289628,83.953369,1.663741
1,100yr_0240m_h514,82.470945,84.265628,1.794683
1,100yr_0240m_h515,82.247607,84.182755,1.935149
1,100yr_0240m_h518,82.165636,84.201865,2.036229
1,100yr_0240m_h519,81.502431,83.805915,2.303485
1,100yr_0240m_h521,81.599708,84.142845,2.543137
1,100yr_0240m_h522,82.548666,83.801209,1.252543
1,100yr_0240m_h525,81.565495,83.734942,2.169447
1,100yr_0240m_h526,82.701870,83.928780,1.226910
1,100yr_0240m_h529,80.790285,84.134526,3.344241
1,100yr_0240m_h530,81.768291,84.045214,2.276923
1,100yr_0240m_h531,81.512194,84.107546,2.595352
1,100yr_0240m_h537,81.854642,84.025960,2.171318
1,100yr_0240m_h539,80.694286,84.095331,3.401045
1,100yr_0240m_h542,81.575890,83.830769,2.254879
1,100yr_0240m_h543,81.014272,84.335811,3.321540
1,100yr_0240m_h544,81.423329,84.130281,2.706952
1,100yr_0240m_h547,82.267616,83.982896,1.715280
1,100yr_0240m_h549,80.989799,84.220584,3.230785
1,100yr_0240m_h550,81.816781,84.086097,2.269316
1,100yr_0240m_h551,81.639489,83.935870,2.296381
1,100yr_0240m_h553,81.535243,84.147068,2.611825
1,100yr_0240m_h556,81.540169,83.982279,2.442110
1,100yr_0240m_h559,82.523612,83.979574,1.455962
1,100yr_0240m_h566,82.332040,84.109685,1.777645
1,100yr_0240m_h567,82.110699,84.269134,2.158435
1,100yr_0240m_h569,81.348774,83.863997,2.515223
1,100yr_0240m_h570,82.663380,84.104832,1.441453
1,100yr_0240m_h574,82.590359,84.028052,1.437692
1,100yr_0240m_h583,82.185900,84.114510,1.928611
1,100yr_0240m_h585,82.662746,84.197924,1.535178
1,100yr_0240m_h589,82.652155,83.993535,1.341379
1,100yr_0240m_h592,82.696241,83.631411,0.935169
1,100yr_0240m_h598,83.086946,83.792544,0.705597
1,100yr_0240m_h601,83.149461,84.105004,0.955543
1,100yr_0240m_h602,82.556559,83.909253,1.352694
1,100yr_0240m_h603,82.092201,83.946260,1.854059
1,100yr_0240m_h606,83.092734,83.772619,0.679884
1,100yr_0240m_h607,82.987293,83.844841,0.857548
1,100yr_0240m_h608,81.691354,84.113334,2.421980
1,100yr_0240m_h611,82.356290,84.009206,1.652917
1,100yr_0240m_h612,82.917475,83.849424,0.931949
1,100yr_0240m_h613,82.351414,83.866545,1.515131
1,100yr_0240m_h614,82.677801,83.857446,1.179645
1,100yr_0240m_h615,82.110760,83.952066,1.841306
1,100yr_0240m_h617,83.062104,83.884592,0.822489
1,100yr_0240m_h619,82.409112,83.744787,1.335675
1,100yr_0360m_h622,114.446037,115.791435,1.345398
1,100yr_0360m_h623,114.599014,115.272123,0.673109
1,100yr_0360m_h624,113.514348,115.012463,1.498115
1,100yr_0360m_h626,113.745602,115.237361,1.491759
1,100yr_0360m_h628,115.239079,115.186034,-0.053045
1,100yr_0360m_h630,114.525890,115.189827,0.663937
1,100yr_0360m_h632,115.564754,115.860620,0.295865
1,100yr_0360m_h633,114.112410,115.301848,1.189438
1,100yr_0360m_h636,114.792711,116.156209,1.363497
1,100yr_0360m_h639,114.311228,115.183664,0.872436
1,100yr_0360m_h641,113.418519,115.069817,1.651298
1,100yr_0360m_h643,114.934669,115.483437,0.548768
1,100yr_0360m_h646,114.219143,115.435873,1.216729
1,100yr_0360m_h649,114.952885,115.325360,0.372474
1,100yr_0360m_h650,114.076578,115.153958,1.077380
1,100yr_0360m_h651,114.574161,116.813591,2.239429
1,100yr_0360m_h652,114.702123,116.674500,1.972377
1,100yr_0360m_h653,114.096605,116.730924,2.634319
1,100yr_0360m_h656,114.470640,116.861861,2.391221
1,100yr_0360m_h659,114.193174,116.622350,2.429176
1,100yr_0360m_h661,114.688699,116.699969,2.011270
1,100yr_0360m_h665,114.966402,116.573724,1.607322
1,100yr_0360m_h669,114.920805,116.481186,1.560381
1,100yr_0360m_h670,114.367673,116.808411,2.440738
1,100yr_0360m_h676,114.457400,116.660967,2.203567
1,100yr_0360m_h679,114.134257,116.571449,2.437192
1,100yr_0360m_h680,114.413078,116.842695,2.429617
1,100yr_0360m_h687,114.469283,115.923480,1.454197
1,100yr_0360m_h690,115.191784,116.050140,0.858356
1,100yr_0360m_h699,114.288071,116.040048,1.751976
1,100yr_0360m_h700,114.377388,116.033855,1.656468
1,100yr_0360m_h703,115.277241,116.174713,0.897472
1,100yr_0360m_h704,114.724121,116.164238,1.440116
1,100yr_0360m_h709,114.440731,115.939002,1.498271
1,100yr_0360m_h711,114.473850,116.090373,1.616523
1,100yr_0360m_h713,114.519633,115.521063,1.001430
1,100yr_0360m_h715,114.690993,115.786398,1.095406
1,100yr_0360m_h717,114.613587,115.754377,1.140789
1,100yr_0360m_h718,114.591496,115.732897,1.141402
1,100yr_0360m_h719,114.342545,115.801483,1.458938
1,100yr_0360m_h721,114.359298,115.836486,1.477188
1,100yr_0360m_h722,114.097980,115.612774,1.514794
1,100yr_0360m_h725,114.556487,115.960546,1.404059
1,100yr_0360m_h728,114.446918,115.594518,1.147600
1,100yr_0360m_h729,114.107748,115.830101,1.722353
1,100yr_0360m_h730,114.439719,115.655725,1.216006
1,100yr_0360m_h732,114.650789,115.833338,1.182549
1,100yr_0360m_h735,114.131716,115.684250,1.552534
1,100yr_0360m_h740,114.491944,115.553853,1.061909
1,100yr_0360m_h742,114.521513,115.761726,1.240213
1,100yr_0540m_h745,161.516733,162.087204,0.570471
1,100yr_0540m_h746,161.019614,161.121509,0.101895
1,100yr_0540m_h748,160.698889,161.168905,0.470015
1,100yr_0540m_h750,160.795090,161.740333,0.945244
1,100yr_0540m_h751,160.899536,162.075791,1.176256
1,100yr_0540m_h753,160.659741,161.399940,0.740200
1,100yr_0540m_h754,160.968724,161.835378,0.866654
1,100yr_0540m_h755,161.014539,161.064630,0.050091
1,100yr_0540m_h757,160.725629,162.163030,1.437401
1,100yr_0540m_h758,160.782556,161.366247,0.583691
1,100yr_0540m_h760,160.803534,162.138861,1.335327
1,100yr_0540m_h762,160.802114,161.532517,0.730403
1,100yr_0540m_h763,160.341350,161.369699,1.028349
1,100yr_0540m_h767,161.220744,161.675383,0.454639
1,100yr_0540m_h768,161.075107,162.203632,1.128525
1,100yr_0540m_h771,160.690296,162.016586,1.326290
1,100yr_0540m_h773,160.802913,161.845748,1.042835
1,100yr_0540m_h776,159.754012,161.732544,1.978533
1,100yr_0540m_h778,159.856184,161.596201,1.740017
1,100yr_0540m_h780,161.432863,161.407181,-0.025682
1,100yr_0540m_h783,160.697170,161.828010,1.130840
1,100yr_0540m_h785,160.005917,161.766056,1.760139
1,100yr_0540m_h786,160.829484,161.144120,0.314636
1,100yr_0540m_h787,160.215092,161.489041,1.273948
1,100yr_0540m_h791,160.563259,161.262005,0.698746
1,100yr_0540m_h794,161.262753,161.673839,0.411087
1,100yr_0540m_h797,160.931049,161.448644,0.517595
