model,seed,episode,return_period_year,train_reward
GA-guided,1,22,80,275.862564
GA-guided,1,23,50,147.271362
GA-guided,1,24,10,141.465472
GA-guided,1,25,80,151.657121
GA-guided,1,26,80,63.027176
GA-guided,1,27,20,59.410825
GA-guided,1,28,50,75.698058
GA-guided,1,29,10,341.890824
GA-guided,1,30,10,74.008621
GA-guided,1,31,20,29.246541
GA-guided,1,32,30,359.257229
GA-guided,1,33,10,345.662052
GA-guided,1,34,30,144.162478
GA-guided,1,35,50,47.102803
GA-guided,1,36,80,77.466878
GA-guided,1,37,30,45.916994
GA-guided,1,38,50,149.767412
GA-guided,1,39,10,354.065724
GA-guided,1,40,50,357.562373
GA-guided,1,41,10,144.004533
GA-guided,1,42,80,46.711719
GA-guided,1,43,100,192.947126
GA-guided,1,44,80,147.960650
GA-guided,1,45,100,33.422821
GA-guided,1,46,20,31.103712
GA-guided,1,47,80,62.292776
GA-guided,1,48,80,359.772403
GA-guided,1,49,20,262.200846
GA-guided,1,50,20,30.951391
GA-guided,1,51,30,45.060531
GA-guided,1,52,30,31.162151
GA-guided,1,53,50,30.197671
GA-guided,1,54,30,107.191148
GA-guided,1,55,50,351.405204
GA-guided,1,56,80,63.133295
GA-guided,1,57,10,44.211232
GA-guided,1,58,50,79.090345
GA-guided,1,59,10,144.448588
GA-guided,1,60,80,275.511387
GA-guided,1,61,50,192.427009
GA-guided,1,62,80,365.068083
GA-guided,1,63,20,144.465667
GA-guided,1,64,10,44.124719
GA-guided,1,65,10,58.990742
GA-guided,1,66,100,77.531571
GA-guided,1,67,100,61.899350
GA-guided,1,68,50,354.619931
GA-guided,1,69,100,146.375044
GA-guided,1,70,10,46.223545
GA-guided,1,71,10,28.555003
GA-guided,1,72,80,77.476372
GA-guided,1,73,50,191.380422
GA-guided,1,74,10,43.618669
GA-guided,1,75,80,355.219324
GA-guided,1,76,100,47.652062
GA-guided,1,77,20,186.760595
GA-guided,1,78,20,142.471150
GA-guided,1,79,10,270.370628
GA-guided,1,80,100,278.266898
GA-guided,1,81,50,186.194641
GA-guided,1,82,50,48.429290
GA-guided,1,83,100,194.409187
GA-guided,1,84,50,358.217898
GA-guided,1,85,30,60.821401
GA-guided,1,86,10,74.320492
GA-guided,1,87,30,105.206349
GA-guided,1,88,20,270.227477
GA-guided,1,89,100,104.560135
GA-guided,1,90,50,145.785443
GA-guided,1,91,80,65.029657
GA-guided,1,92,80,108.576048
GA-guided,1,93,20,61.614854
GA-guided,1,94,50,187.609298
GA-guided,1,95,20,146.410377
GA-guided,1,96,30,107.640884
GA-guided,1,97,30,73.755055
GA-guided,1,98,50,273.326780
GA-guided,1,99,50,32.380605
GA-guided,1,100,30,78.326027
GA-guided,1,101,80,78.254203
GA-guided,1,102,30,273.500688
GA-guided,1,103,10,272.086588
GA-guided,1,104,80,108.901791
GA-guided,1,105,80,188.795706
GA-guided,1,106,50,359.229012
GA-guided,1,107,30,105.700432
GA-guided,1,108,80,110.169392
GA-guided,1,109,20,104.101294
GA-guided,1,110,20,44.065874
GA-guided,1,111,100,279.305353
GA-guided,1,112,80,62.637971
GA-guided,1,113,20,147.077526
GA-guided,1,114,80,364.255990
GA-guided,1,115,20,77.018632
GA-guided,1,116,10,356.495849
GA-guided,1,117,10,147.804497
GA-guided,1,118,100,109.746402
GA-guided,1,119,30,60.930486
GA-guided,1,120,80,363.551712
GA-guided,1,121,100,65.597785
GA-guided,1,122,100,368.262279
GA-guided,1,123,20,59.349213
GA-guided,1,124,20,46.090668
GA-guided,1,125,50,149.202886
GA-guided,1,126,10,148.250363
GA-guided,1,127,10,99.928830
GA-guided,1,128,20,75.525098
GA-guided,1,129,20,191.023498
GA-guided,1,130,20,29.805844
GA-guided,1,131,10,105.975126
GA-guided,1,132,10,278.346998
GA-guided,1,133,30,190.818513
GA-guided,1,134,30,107.412799
GA-guided,1,135,20,77.120987
GA-guided,1,136,50,49.228498
GA-guided,1,137,80,79.327828
GA-guided,1,138,20,277.118334
GA-guided,1,139,20,145.858065
GA-guided,1,140,20,282.344888
GA-guided,1,141,80,81.729902
GA-guided,1,142,80,283.529705
GA-guided,1,143,50,362.858924
GA-guided,1,144,10,192.370760
GA-guided,1,145,50,31.502801
GA-guided,1,146,20,369.106922
GA-guided,1,147,30,48.194155
GA-guided,1,148,100,82.064962
GA-guided,1,149,20,106.877214
GA-guided,1,150,80,110.138862
