model,seed,episode,return_period_year,train_reward
GA-guided,3,73,80,48.723054
GA-guided,3,74,80,106.202925
GA-guided,3,75,30,74.894097
GA-guided,3,76,80,355.626007
GA-guided,3,77,20,145.119044
GA-guided,3,78,80,354.417598
GA-guided,3,79,20,143.672134
GA-guided,3,80,30,48.218991
GA-guided,3,81,80,108.326913
GA-guided,3,82,50,76.332358
GA-guided,3,83,10,71.808193
GA-guided,3,84,20,184.767373
GA-guided,3,85,100,276.839716
GA-guided,3,86,10,43.783827
GA-guided,3,87,100,359.744259
GA-guided,3,88,30,46.037109
GA-guided,3,89,10,346.110543
GA-guided,3,90,50,149.480802
GA-guided,3,91,30,145.091184
GA-guided,3,92,30,146.600254
GA-guided,3,93,50,356.323055
GA-guided,3,94,30,143.979858
GA-guided,3,95,10,146.044063
GA-guided,3,96,50,362.952750
GA-guided,3,97,30,29.312899
GA-guided,3,98,10,269.960227
GA-guided,3,99,80,107.859861
GA-guided,3,100,10,45.334149
GA-guided,3,101,100,278.623111
GA-guided,3,102,100,112.199191
GA-guided,3,103,30,190.543633
GA-guided,3,104,20,47.201014
GA-guided,3,105,10,270.410432
GA-guided,3,106,50,148.373455
GA-guided,3,107,20,147.480687
GA-guided,3,108,10,43.641334
GA-guided,3,109,80,63.933728
GA-guided,3,110,20,146.428079
GA-guided,3,111,50,354.398295
GA-guided,3,112,20,272.896685
GA-guided,3,113,20,30.695922
GA-guided,3,114,80,152.073090
GA-guided,3,115,100,191.535515
GA-guided,3,116,80,370.554807
GA-guided,3,117,20,59.372983
GA-guided,3,118,30,277.120892
GA-guided,3,119,100,81.045878
GA-guided,3,120,10,77.010412
GA-guided,3,121,80,104.450230
GA-guided,3,122,80,365.780609
GA-guided,3,123,20,187.948072
GA-guided,3,124,30,105.853974
GA-guided,3,125,20,46.712450
GA-guided,3,126,30,78.914927
GA-guided,3,127,20,275.103539
GA-guided,3,128,80,275.284137
GA-guided,3,129,30,47.380073
GA-guided,3,130,80,113.700140
GA-guided,3,131,30,195.218245
GA-guided,3,132,80,279.689596
GA-guided,3,133,80,192.825777
GA-guided,3,134,10,146.118186
GA-guided,3,135,20,364.681741
GA-guided,3,136,50,78.733447
GA-guided,3,137,80,365.107987
GA-guided,3,138,80,154.974938
GA-guided,3,139,50,281.161497
GA-guided,3,140,50,198.138632
GA-guided,3,141,20,30.693652
GA-guided,3,142,30,367.532345
GA-guided,3,143,10,105.581609
GA-guided,3,144,50,32.658466
GA-guided,3,145,80,368.714017
GA-guided,3,146,10,105.402507
GA-guided,3,147,100,67.584120
GA-guided,3,148,100,49.321172
GA-guided,3,149,20,30.773696
GA-guided,3,150,80,81.205527
GA-guided,3,151,100,83.060613
GA-guided,3,152,50,32.263228
GA-guided,3,153,10,150.812515
GA-guided,3,154,20,77.495900
GA-guided,3,155,10,61.768434
GA-guided,3,156,10,150.930671
GA-guided,3,157,10,358.295507
GA-guided,3,158,30,108.709621
GA-guided,3,159,10,31.245533
