model,seed,cum_reward
Regular,1,63.179273
Regular,1,382.825395
Regular,1,290.394258
Regular,1,292.994149
Regular,1,203.977394
Regular,1,84.993146
Regular,1,199.245608
Regular,1,51.949044
Regular,1,202.327806
Regular,1,206.070364
Regular,1,109.131546
Regular,1,159.208686
Regular,1,51.164546
Regular,1,63.863269
Regular,1,33.007450
Regular,1,154.878727
Regular,1,289.691787
Regular,1,381.898859
Regular,1,50.543169
Regular,1,51.879113
Regular,1,381.077382
Regular,1,68.755086
Regular,1,292.506410
Regular,1,85.083719
Regular,1,288.607423
Regular,1,63.894202
Regular,1,160.514550
Regular,1,377.682181
Regular,1,153.598437
Regular,1,62.038262
Regular,1,68.906109
Regular,1,291.952623
Regular,1,67.855901
Regular,1,285.660391
Regular,1,67.834543
Regular,1,381.109706
Regular,1,378.935601
Regular,1,109.226497
Regular,1,110.180190
Regular,1,48.283616
Regular,1,202.059205
Regular,1,199.505954
Regular,1,382.994908
Regular,1,111.864764
Regular,1,115.671636
Regular,1,158.263292
Regular,1,68.602729
Regular,1,63.220162
Regular,1,80.127523
Regular,1,66.332553
Regular,1,68.312318
Regular,1,206.480161
Regular,1,66.403544
Regular,1,293.134192
Regular,1,380.397685
Regular,1,199.481898
Regular,1,294.230014
Regular,1,206.408308
Regular,1,65.704782
Regular,1,378.586271
Regular,1,288.109801
Regular,1,33.523522
Regular,1,200.904427
Regular,1,154.727508
Regular,1,158.547563
Regular,1,66.571336
Regular,1,154.841206
Regular,1,288.520988
Regular,1,112.293732
Regular,1,378.838509
Regular,1,84.137235
Regular,1,111.290584
Regular,1,33.886457
Regular,1,34.149245
Regular,1,32.735627
Regular,1,51.381591
Regular,1,108.403785
Regular,1,203.134088
Regular,1,108.735977
Regular,1,197.569327
Regular,1,47.861484
Regular,1,33.954686
Regular,1,47.782901
Regular,1,153.751632
Regular,1,66.167065
Regular,1,66.522096
Regular,1,377.517992
Regular,1,157.874868
Regular,1,77.870611
Regular,1,375.028187
Regular,1,152.737998
Regular,1,292.816472
Regular,1,157.369338
Regular,1,115.313392
Regular,1,34.025971
Regular,1,32.990888
Regular,1,381.904921
Regular,1,51.454130
Regular,1,65.892306
Regular,1,113.531858
Regular,1,68.849912
Regular,1,116.620578
Regular,1,206.394277
Regular,1,290.244355
Regular,1,49.689558
Regular,1,110.279112
Regular,1,79.851770
Regular,1,51.055199
Regular,1,49.704803
Regular,1,83.374235
Regular,1,157.347666
Regular,1,289.109667
Regular,1,109.074512
Regular,1,33.096263
Regular,1,201.422183
Regular,1,156.421434
Regular,1,80.259685
Regular,1,201.025157
Regular,1,293.221816
Regular,1,381.565065
Regular,1,112.108289
Regular,1,374.851063
Regular,1,34.047639
Regular,1,114.387946
Regular,1,113.782626
Regular,1,48.013196
Regular,1,205.915564
Regular,1,49.801170
Regular,1,377.317071
Regular,1,85.083565
Regular,1,159.934478
Regular,1,291.231003
Regular,1,380.155157
Regular,1,67.223161
Regular,1,52.430422
Regular,1,198.103393
Regular,1,291.047950
Regular,1,52.224345
Regular,1,82.760367
Regular,1,205.427768
Regular,1,33.367095
Regular,1,197.331942
Regular,1,111.514722
Regular,1,154.784744
Regular,1,32.015343
Regular,1,381.544175
Regular,1,79.805945
Regular,1,50.373205
Regular,1,289.246228
Regular,1,110.037053
Regular,1,108.177172
Regular,1,85.012541
Regular,1,381.234968
Regular,1,110.853987
Regular,1,288.555190
Regular,1,50.095227
Regular,1,82.393773
Regular,1,112.942875
Regular,1,33.097601
Regular,1,110.918989
Regular,1,291.974660
Regular,1,111.275024
Regular,1,204.238537
Regular,1,83.485498
Regular,1,78.303896
Regular,1,379.050957
Regular,1,203.581539
Regular,1,31.788325
Regular,1,33.079695
Regular,1,160.569829
Regular,1,33.675745
Regular,1,378.206093
Regular,1,377.840844
Regular,1,52.188749
Regular,1,290.283055
Regular,1,67.412573
Regular,1,80.456048
Regular,1,110.037053
Regular,1,33.937440
Regular,1,382.704444
Regular,1,80.986204
Regular,1,32.017593
Regular,1,50.273179
Regular,1,50.338081
Regular,1,32.014412
Regular,1,201.531033
Regular,1,30.828445
Regular,1,46.804551
Regular,1,34.330216
Regular,1,64.019793
Regular,1,110.560453
Regular,1,205.180122
Regular,1,157.290570
Regular,1,286.849983
Regular,1,156.912093
Regular,1,160.084274
Regular,1,114.248209
Regular,1,294.012165
Regular,1,202.784982
Regular,1,108.148771
Regular,1,79.024204
Regular,1,206.476976
Regular,1,155.876573
Regular,1,34.187980
Regular,1,79.854966
Regular,1,32.239831
Regular,1,78.261566
Regular,1,293.573206
Regular,1,197.493262
Regular,1,293.057662
Regular,1,160.408732
Regular,1,77.825794
Regular,1,33.558142
Regular,1,379.932728
Regular,1,159.825645
Regular,1,84.257260
Regular,1,50.148598
Regular,1,110.723037
Regular,1,83.401806
Regular,1,51.091725
Regular,1,155.389903
Regular,1,64.266114
Regular,1,379.773457
Regular,1,81.477811
Regular,1,114.372361
Regular,1,33.212872
Regular,1,82.764981
Regular,1,197.463613
Regular,1,33.399808
Regular,1,197.415692
Regular,1,384.363022
Regular,1,108.726620
Regular,1,376.516161
Regular,1,202.110118
Regular,1,378.557043
Regular,1,115.994804
Regular,1,67.891528
Regular,1,83.692666
Regular,1,32.934403
Regular,1,206.426428
Regular,1,51.861179
Regular,1,202.396054
Regular,1,291.478292
Regular,1,156.909987
