episode,train_loss,train_reward
0,0.04264320302412871,118.28596299770044
1,0.009928287000763807,233.28360911268814
2,0.007980981643657325,235.23910006213237
3,0.007630384171879369,34.65721874372987
4,0.006638157456493477,340.1607391782828
5,0.0058803129904112785,180.71940517702936
6,0.006243655721077302,230.9706385832394
7,0.004698727674482283,122.74225896856342
8,0.003681203251314425,88.63180628436892
9,0.002852655482526573,128.69594222813814
10,0.0018953085858760153,344.8638766820957
11,0.001520822738974071,74.11813357701631
12,0.0016076374631666113,87.6446238993821
13,0.0014612388427633698,72.44486511650507
14,0.0013767913096671691,88.86054502541776
15,0.0012377822766148742,34.91134111609499
16,0.0011840457874930372,183.07708942067
17,0.00107501441749973,72.71691491802198
18,0.001204636306449009,53.14175281688602
19,0.0012330461971122159,351.4008524454818
20,0.0010040420861983387,236.50576958570545
21,0.0009736331414644045,182.92049380246044
22,0.0011841072650376674,181.70117119719586
23,0.001407049383167657,339.7423780303163
24,0.0013740799524295116,344.13431518143676
25,0.0012257445032754716,73.04418289673731
26,0.0010949425765629404,74.20221379686608
27,0.001099890403689272,72.65806158982673
28,0.001301117739407248,181.99210210390441
29,0.0012492683186407633,124.76027507032025
30,0.0012270116983265987,54.263097721062
31,0.0015834025636752176,450.88444302604825
32,0.0014530673359917335,71.92420222446187
33,0.0012239670376087675,127.56739583544822
34,0.001387331360987407,454.71533368533056
35,0.0015591204120101866,91.73525380530226
36,0.001730422247733102,36.562257028991446
37,0.002060466125840321,52.65589428728871
38,0.0017089080313981266,72.87214878045947
39,0.001671125110585036,235.18563107354805
40,0.0016896296181655019,126.38426040926711
41,0.002233750330874343,33.5423165645983
42,0.0021669757745919264,53.02184498604365
43,0.0015998909282284907,344.523508700891
44,0.0015739277674288747,89.29447179197506
45,0.0016494638903946557,457.93211591562925
46,0.001475542665051176,181.71077240610123
47,0.001497736231582259,73.08627162732506
48,0.0015186193317858101,241.47934254308046
49,0.0012944450604639552,458.7031901822509
50,0.0009505982615322826,462.3463631619368
51,0.0011336741250931016,89.88028692234973
52,0.0008356898772696943,53.585571629170154
53,0.0009936672589674345,54.76513234211861
54,0.0010569813381121921,55.062151693015885
55,0.0012193901839054888,51.17893578028602
56,0.0012902915022798632,52.29097279987536
57,0.0010097432263466923,182.6057065518098
58,0.0013084190468775473,54.05548046058584
59,0.001300663405304063,52.09072836411604
60,0.0011225531934157939,351.0361014515735
61,0.0007797799322764107,185.4057729479216
62,0.0008157981219701819,123.97959569168982
63,0.0009291298631844359,347.97816579394487
64,0.0008118556460913352,182.91529661148616
65,0.0006101057953270294,69.51939351604165
66,0.000878816275506862,348.06142123785327
67,0.0011501409766501189,333.5862350447109
68,0.0011558419157783927,131.06588328988568
69,0.0016369675568884386,54.29914392760697
70,0.0013427669888384313,88.79488000911995
71,0.0014120241375027176,127.7866567566666
72,0.0014357723802482134,344.3087797502443
73,0.0014711507649257534,234.31174240457426
74,0.001361080245309544,92.02908515960142
75,0.0015676143276888634,90.65119091113792
76,0.0014016458357882337,92.57887142073113
77,0.0009712856626720168,35.15523613303299
78,0.001240828387506491,35.59618369641523
79,0.0013429416944622848,90.29854310068103
80,0.0013729695331136478,441.87913514402504
81,0.0013155319155573777,186.18470945629085
