L,gamma_h,forecast,duration_min,n_scenarios,overflow_rate,mean_max_level_m,mean_act0_lock_rate
4,1.0,perfect,0240,30,0,7.3974,0.3617
4,1.0,perfect,0360,30,0,7.4509,0.4117
4,1.0,perfect,0540,30,0,7.5121,0.4238
4,1.0,perfect,0720,30,0,7.5302,0.4943
4,1.0,perfect,1080,30,0,7.5418,0.5521
4,1.0,perfect,1440,30,0,7.5504,0.59
4,1.0,persistence,0060,30,0,7.3331,0.4178
4,1.0,persistence,0120,30,0,7.358,0.4216
4,1.0,persistence,0180,30,0,7.3709,0.3828
4,1.0,persistence,0240,30,0,7.4083,0.3671
4,1.0,persistence,0360,30,0,7.4509,0.4168
4,1.0,persistence,0540,30,0,7.515,0.4247
4,1.0,persistence,0720,30,0,7.5304,0.4967
4,1.0,persistence,1080,30,0,7.5427,0.5522
4,1.0,persistence,1440,30,0,7.5515,0.5895
5,0.9,perfect,0060,30,0,7.2747,0.4672
5,0.9,perfect,0120,30,0,7.3124,0.4519
5,0.9,perfect,0180,30,0,7.3623,0.4014
5,0.9,perfect,0240,30,0,7.4008,0.3876
5,0.9,perfect,0360,30,0,7.4601,0.4346
5,0.9,perfect,0540,30,0,7.5383,0.4109
5,0.9,perfect,0720,30,0,7.5568,0.4546
5,0.9,perfect,1080,30,0,7.5697,0.489
5,0.9,perfect,1440,30,0,7.5785,0.5271
5,0.9,persistence,0060,30,0,7.3128,0.4782
5,0.9,persistence,0120,30,0,7.3642,0.4587
5,0.9,persistence,0180,30,0,7.3669,0.404
5,0.9,persistence,0240,30,0,7.4139,0.3849
5,0.9,persistence,0360,30,0,7.4605,0.434
5,0.9,persistence,0540,30,0,7.5379,0.4122
5,0.9,persistence,0720,30,0,7.5577,0.4621
5,0.9,persistence,1080,30,0,7.5705,0.488
5,0.9,persistence,1440,30,0,7.5784,0.527
5,1.0,perfect,0060,30,0,7.0156,0.3213
5,1.0,perfect,0120,30,0,7.1108,0.3504
5,1.0,perfect,0180,30,0,7.0846,0.3401
5,1.0,perfect,0240,30,0,7.1085,0.325
5,1.0,perfect,0360,30,0,7.1643,0.3785
5,1.0,perfect,0540,30,0,7.1659,0.3444
5,1.0,perfect,0720,30,0,7.1788,0.3743
5,1.0,perfect,1080,30,0,7.2112,0.4263
