optimizer,n_decisions,n_agree_with_enum,agreement_rate,mean_gap,max_gap,mean_decision_s,median_decision_s,p95_decision_s
ENUM,47196,47196,1.0,0.0,0.0,3.925729272232762e-05,3.8468046113848686e-05,4.164804704487324e-05
GA,47196,47196,1.0,0.0,0.0,0.02004781057936883,0.019247815012931824,0.026623842073604465
PSO,47196,47192,0.9999152470548351,1.0513114165968576e-06,0.0260954221099422,0.0014311648143215195,0.0014162370935082436,0.0015112939290702343
