state_id,scenario_id,L,method,impl,wall_s,n_obj_calls,first_action,best_total,rep,gap_vs_enum,first_action_match
50yr_0180m_h411_step0,50yr_0180m_h411,5,GA,deployed,0.07192662404850125,8000,0,3.25,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,GA,vectorized,0.011962495045736432,7000,0,3.25,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,GA,deployed,0.0675842051859945,7500,0,3.25,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,GA,vectorized,0.024960725102573633,14000,0,3.25,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,GA,deployed,0.07286192988976836,8000,0,3.25,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,GA,vectorized,0.011131477076560259,6500,0,3.25,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,PSO,deployed,0.01971087185665965,2100,0,3.25,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,PSO,vectorized,0.0008290049154311419,1950,0,3.25,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,PSO,deployed,0.02410159190185368,2550,0,3.25,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,PSO,vectorized,0.0008151500951498747,2100,0,3.25,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,PSO,deployed,0.018593201180920005,2100,0,3.25,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,5,PSO,vectorized,0.0008058531675487757,2100,0,3.25,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,ENUM,deployed,2.7123318570666015,279936,0,,,,
50yr_0180m_h411_step0,50yr_0180m_h411,6,ENUM,vectorized,0.01430866215378046,279936,0,3.9,,,
50yr_0180m_h411_step0,50yr_0180m_h411,6,GA,deployed,0.11163959605619311,12600,0,3.9,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,GA,vectorized,0.014224755112081766,9600,0,3.9,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,GA,deployed,0.12479466199874878,13800,0,3.9,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,GA,vectorized,0.011953813023865223,8400,0,3.9,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,GA,deployed,0.08728745812550187,10200,0,3.9,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,GA,vectorized,0.014131564181298018,9600,0,3.9,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,PSO,deployed,0.02500369492918253,2880,0,3.9,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,PSO,vectorized,0.00103563885204494,2700,0,3.9,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,PSO,deployed,0.0251331957988441,2700,0,3.9,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,PSO,vectorized,0.0012204009108245373,3060,0,3.9,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,PSO,deployed,0.026453249156475067,2880,0,3.9,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,6,PSO,vectorized,0.0009872019290924072,2520,0,3.9,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,ENUM,deployed,18.95717926020734,1959552,0,,,,
50yr_0180m_h411_step0,50yr_0180m_h411,7,ENUM,vectorized,0.1174224279820919,1959552,0,4.55,,,
50yr_0180m_h411_step0,50yr_0180m_h411,7,GA,deployed,0.10961738298647106,12600,0,4.55,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,GA,vectorized,0.014919131062924862,11900,0,4.55,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,GA,deployed,0.10171334492042661,11900,0,4.55,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,GA,vectorized,0.012885333970189095,10500,0,4.55,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,GA,deployed,0.1101428191177547,12600,0,4.55,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,GA,vectorized,0.014608806930482388,11200,0,4.2509375,2,0.2990624999999998,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,PSO,deployed,0.03308867500163615,3570,0,4.55,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,PSO,vectorized,0.0011835710611194372,3150,0,4.55,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,PSO,deployed,0.030365227023139596,3150,0,4.55,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,PSO,vectorized,0.0011353688314557076,2940,0,4.55,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,PSO,deployed,0.02672687405720353,2940,0,4.55,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,7,PSO,vectorized,0.0011629699729382992,3150,0,4.55,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,ENUM,deployed,128.6246839351952,13436928,0,,,,
50yr_0180m_h411_step0,50yr_0180m_h411,8,ENUM,vectorized,0.8072875258512795,13436928,0,5.2,,,
50yr_0180m_h411_step0,50yr_0180m_h411,8,GA,deployed,0.11778796603903174,13600,0,5.2,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,GA,vectorized,0.015229817014187574,13600,0,5.2,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,GA,deployed,0.1331737758591771,15200,0,5.2,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,GA,vectorized,0.021683553932234645,19200,0,5.2,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,GA,deployed,0.11771745583973825,13600,0,4.901168867390536,2,0.2988311326094646,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,GA,vectorized,0.01893511600792408,17600,0,5.2,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,PSO,deployed,0.035121146123856306,4080,0,5.2,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,PSO,vectorized,0.0014233440160751343,3840,0,5.2,0,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,PSO,deployed,0.036473557818681,4080,0,5.2,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,PSO,vectorized,0.0014422379899770021,3840,0,5.2,1,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,PSO,deployed,0.03160635195672512,3600,0,5.2,2,0.0,1
50yr_0180m_h411_step0,50yr_0180m_h411,8,PSO,vectorized,0.0012889830395579338,3840,0,5.2,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,ENUM,deployed,0.00016212998889386654,6,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,1,ENUM,vectorized,0.00010138098150491714,6,5,0.7514498256489323,,,
50yr_0180m_h411_step39,50yr_0180m_h411,1,GA,deployed,0.011997648049145937,1100,5,0.7514498256489323,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,GA,vectorized,0.00770866684615612,1100,5,0.7514498256489323,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,GA,deployed,0.011054577073082328,1100,5,0.7514498256489323,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,GA,vectorized,0.007905166130512953,1100,5,0.7514498256489323,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,GA,deployed,0.01078269793651998,1100,5,0.7514498256489323,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,GA,vectorized,0.007931703003123403,1100,5,0.7514498256489323,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,PSO,deployed,0.003073364030569792,330,5,0.7514498256489323,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,PSO,vectorized,0.00034953304566442966,330,5,0.7514498256489323,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,PSO,deployed,0.0030681679490953684,330,5,0.7514498256489323,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,PSO,vectorized,0.0002810419537127018,330,5,0.7514498256489323,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,PSO,deployed,0.0030639581382274628,330,5,0.7514498256489323,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,1,PSO,vectorized,0.00026126112788915634,330,5,0.7514498256489323,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,ENUM,deployed,0.0006627270486205816,72,5,,,,
50yr_0180m_h411_step39,50yr_0180m_h411,2,ENUM,vectorized,8.719600737094879e-05,72,5,1.5014784597958881,,,
50yr_0180m_h411_step39,50yr_0180m_h411,2,GA,deployed,0.02091681002639234,2200,5,1.5014784597958881,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,GA,vectorized,0.009032262023538351,2200,5,1.5014784597958881,0,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,GA,deployed,0.019941743928939104,2200,5,1.5014784597958881,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,GA,vectorized,0.00880399695597589,2200,5,1.5014784597958881,1,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,GA,deployed,0.023574864026159048,2600,5,1.5014784597958881,2,0.0,1
50yr_0180m_h411_step39,50yr_0180m_h411,2,GA,vectorized,0.008813254069536924,2200,5,1.5014784597958881,2,0.0,1
