Model	Duration (min)	10	20	30	50	80	100
Regular	60	5.61	5.33	3.24	2.91	3.33	2.15
GA-guided	60	1.25	0.77	1.04	1.14	0.87	0.77
Regular	120	4.24	3.32	4.69	4.78	3.93	5.22
GA-guided	120	1.98	2.08	1.85	1.20	1.26	1.38
Regular	180	3.33	4.13	2.79	2.35	2.91	2.23
GA-guided	180	1.93	3.19	2.88	2.88	3.18	2.14
Regular	240	2.73	3.15	2.48	2.41	3.58	2.85
GA-guided	240	1.63	3.19	3.89	4.28	3.95	3.09
Regular	360	3.58	3.32	2.84	2.97	2.52	3.72
GA-guided	360	3.08	1.93	3.18	4.44	6.87	7.25
Regular	540	7.15	6.25	7.25	5.61	5.13	3.78
GA-guided	540	6.11	5.16	4.33	3.87	4.18	4.91
Regular	720	12.59	10.01	10.27	7.93	9.87	8.33
GA-guided	720	9.23	8.42	8.27	8.13	7.16	6.75
Regular	1080	14.09	15.14	14.32	13.06	12.56	12.72
GA-guided	1080	12.96	13.13	13.74	13.24	12.82	11.86
Regular	1440	19.80	16.51	16.67	16.60	16.95	14.52
GA-guided	1440	14.21	15.75	17.14	15.23	16.71	16.21
