Model	Duration (min)	10	20	30	50	80	100
Regular	60	2.31	2.48	2.02	2.37	2.13	2.16
GA-guided	60	3.97	3.83	3.53	3.05	2.99	2.68
PSO-guided	60	3.59	4.30	4.02	4.22	4.47	4.67
GA	60	0.00	0.00	0.00	0.00	0.00	0.00
PSO	60	0.00	0.00	0.03	0.01	0.00	0.02
Regular	120	3.64	3.90	3.22	2.93	2.87	2.78
GA-guided	120	3.62	3.75	3.44	3.67	2.91	3.04
PSO-guided	120	4.12	4.09	4.05	3.59	3.28	3.24
GA	120	0.00	0.00	0.00	0.00	0.00	0.00
PSO	120	0.06	0.11	0.02	0.02	0.04	0.05
Regular	180	4.34	4.05	3.74	3.77	3.24	3.25
GA-guided	180	3.55	3.19	3.75	3.97	3.53	3.07
PSO-guided	180	3.83	4.92	4.29	3.64	3.48	3.21
GA	180	0.00	0.00	0.00	0.00	0.00	0.00
PSO	180	0.13	0.03	0.06	0.02	0.15	0.08
Regular	240	5.23	4.92	4.83	4.91	4.21	3.67
GA-guided	240	3.34	3.20	3.36	3.71	3.51	3.41
PSO-guided	240	5.74	6.54	4.18	3.52	4.21	3.73
GA	240	0.00	0.00	0.00	0.00	0.00	0.00
PSO	240	0.04	0.15	0.10	0.20	0.03	0.05
Regular	360	5.98	5.93	5.83	6.60	5.84	5.78
GA-guided	360	1.94	3.03	3.36	3.72	3.71	3.78
PSO-guided	360	6.23	7.17	6.92	7.49	5.39	4.92
GA	360	0.00	0.00	0.00	0.00	0.00	0.00
PSO	360	0.04	0.14	0.12	0.03	0.03	0.10
Regular	540	8.49	8.17	7.98	7.10	6.84	6.95
GA-guided	540	1.83	1.53	1.69	2.34	2.92	2.64
PSO-guided	540	4.67	5.65	8.66	9.06	8.24	7.48
GA	540	0.00	0.00	0.00	0.00	0.00	0.00
PSO	540	0.36	0.24	0.15	0.23	0.11	0.37
Regular	720	8.70	8.29	9.29	8.56	9.51	8.12
GA-guided	720	3.01	2.44	1.66	1.81	3.00	3.06
PSO-guided	720	3.51	4.62	5.11	5.30	6.00	9.07
GA	720	0.00	0.00	0.00	0.00	0.00	0.00
PSO	720	0.21	0.31	0.29	0.29	0.35	0.42
Regular	1080	11.39	12.57	12.10	11.16	9.94	10.31
GA-guided	1080	27.38	17.53	9.25	7.31	4.74	3.78
PSO-guided	1080	6.39	5.09	6.02	6.42	6.77	6.93
GA	1080	0.00	0.00	0.00	0.00	0.00	0.00
PSO	1080	0.10	0.17	0.29	0.22	0.50	0.25
Regular	1440	9.65	12.71	15.53	16.23	14.12	13.41
GA-guided	1440	53.18	50.63	44.25	56.69	33.98	30.85
PSO-guided	1440	6.76	8.64	6.78	6.65	7.13	6.98
GA	1440	0.00	0.00	0.00	0.00	0.00	0.00
PSO	1440	0.36	0.18	0.39	0.28	0.25	0.51
