Model,Duration (min),10,20,30,50,80,100
Regular,60,0.194,0.154,0.068,0.114,0.107,0.091
GA-guided,60,0.073,0.087,0.108,0.070,0.067,0.059
Regular,120,0.323,0.357,0.300,0.164,0.094,0.070
GA-guided,120,0.056,0.069,0.081,0.074,0.080,0.084
Regular,180,0.242,0.365,0.434,0.417,0.302,0.232
GA-guided,180,0.081,0.060,0.083,0.081,0.061,0.083
Regular,240,0.106,0.132,0.258,0.444,0.461,0.403
GA-guided,240,0.074,0.094,0.081,0.076,0.072,0.076
Regular,360,0.063,0.079,0.080,0.078,0.086,0.251
GA-guided,360,0.067,0.115,0.119,0.098,0.075,0.090
Regular,540,0.104,0.044,0.059,0.048,0.038,0.119
GA-guided,540,0.137,0.083,0.092,0.128,0.120,0.132
Regular,720,0.078,0.030,0.053,0.120,0.123,0.097
GA-guided,720,0.199,0.158,0.162,0.121,0.102,0.124
Regular,1080,0.053,0.054,0.049,0.049,0.044,0.039
GA-guided,1080,0.269,0.255,0.234,0.189,0.184,0.187
Regular,1440,0.117,0.100,0.085,0.044,0.044,0.043
GA-guided,1440,0.293,0.278,0.275,0.269,0.276,0.255
