Model,Duration (min),10,20,30,50,80,100
Regular,60,0.39,0.26,0.18,0.18,0.29,0.32
GA-guided,60,1.14,0.89,0.84,0.81,0.80,0.58
PSO-guided,60,0.22,0.38,0.24,0.38,0.28,0.26
GA,60,0.00,0.00,0.00,0.00,0.00,0.02
PSO,60,0.00,0.00,0.00,0.00,0.00,0.02
Regular,120,0.90,0.68,0.50,0.52,0.42,0.43
GA-guided,120,1.45,1.11,0.92,0.83,0.83,0.90
PSO-guided,120,0.48,0.24,0.25,0.20,0.22,0.34
GA,120,0.02,0.00,0.00,0.00,0.00,0.00
PSO,120,0.02,0.00,0.00,0.00,0.00,0.00
Regular,180,1.32,1.91,1.01,1.13,1.14,0.72
GA-guided,180,1.74,2.06,1.76,1.47,1.52,1.22
PSO-guided,180,0.69,0.99,0.57,0.68,0.92,1.02
GA,180,0.00,0.00,0.00,0.00,0.00,0.00
PSO,180,0.00,0.00,0.00,0.00,0.00,0.00
Regular,240,1.84,2.86,2.62,1.85,1.34,1.41
GA-guided,240,1.96,1.87,1.92,2.14,1.84,1.76
PSO-guided,240,1.01,1.06,1.20,0.88,0.96,1.20
GA,240,0.02,0.00,0.06,0.02,0.04,0.04
PSO,240,0.02,0.00,0.06,0.02,0.04,0.04
Regular,360,2.30,2.74,3.66,4.69,3.02,2.25
GA-guided,360,2.50,1.98,1.98,2.40,2.15,2.30
PSO-guided,360,1.56,1.80,1.81,2.02,1.28,0.91
GA,360,0.12,0.14,0.08,0.02,0.00,0.04
PSO,360,0.13,0.14,0.08,0.02,0.00,0.03
Regular,540,3.73,3.50,3.48,2.87,3.56,4.29
GA-guided,540,3.11,3.41,3.06,2.73,2.56,2.86
PSO-guided,540,3.05,2.34,1.89,1.76,2.17,2.18
GA,540,0.68,0.32,0.40,0.26,0.12,0.28
PSO,540,0.71,0.34,0.42,0.26,0.14,0.29
Regular,720,5.17,4.52,4.14,3.47,3.95,3.88
GA-guided,720,4.42,3.87,3.62,4.00,3.19,3.36
PSO-guided,720,5.13,3.48,3.07,2.43,2.56,2.58
GA,720,0.62,0.60,0.60,0.48,0.44,0.34
PSO,720,0.63,0.59,0.60,0.50,0.43,0.36
Regular,1080,7.41,6.31,6.31,6.44,5.82,5.88
GA-guided,1080,14.48,10.49,8.44,6.86,5.58,5.73
PSO-guided,1080,3.72,4.29,8.13,5.16,4.11,3.97
GA,1080,0.60,1.22,0.64,1.10,1.08,1.06
PSO,1080,0.60,1.23,0.66,1.09,1.10,1.05
Regular,1440,9.47,8.73,9.64,7.94,7.64,7.34
GA-guided,1440,23.90,22.43,21.63,23.60,16.60,17.49
PSO-guided,1440,4.34,4.72,4.56,4.65,5.54,6.63
GA,1440,0.44,0.94,0.54,1.50,1.30,1.72
PSO,1440,0.45,0.93,0.56,1.49,1.32,1.73
