Model	Duration (min)	10	20	30	50	80	100
Regular	60	10.76	10.76	11.25	11.48	11.78	11.65
GA-guided	60	12.32	12.16	11.62	11.50	11.36	11.02
PSO-guided	60	10.30	10.82	10.81	11.13	11.06	10.87
GA	60	10.64	10.56	10.28	10.36	10.04	10.58
PSO	60	10.64	10.56	10.28	10.36	10.04	10.58
Regular	120	12.82	12.76	13.00	13.22	13.12	13.17
GA-guided	120	13.55	14.34	13.72	13.31	12.82	12.50
PSO-guided	120	11.48	11.63	12.39	12.55	12.25	12.28
GA	120	16.80	16.24	15.44	14.96	14.92	14.12
PSO	120	16.82	16.29	15.46	14.97	14.94	14.13
Regular	180	16.86	15.52	15.20	15.61	15.84	15.32
GA-guided	180	15.30	15.79	15.76	16.24	15.86	15.09
PSO-guided	180	14.61	13.72	13.96	14.46	14.30	13.52
GA	180	24.84	23.92	23.48	21.12	21.00	21.84
PSO	180	25.00	23.94	23.50	21.14	21.07	21.87
Regular	240	19.62	20.19	19.06	18.18	17.98	18.76
GA-guided	240	17.30	18.60	19.16	19.73	19.60	19.22
PSO-guided	240	16.17	16.67	17.30	16.88	16.56	16.44
GA	240	30.88	31.28	31.44	29.12	28.66	29.52
PSO	240	30.85	31.51	31.38	29.23	28.79	29.61
Regular	360	26.96	28.56	28.86	27.12	25.11	25.38
GA-guided	360	22.12	23.32	24.35	24.42	25.09	25.79
PSO-guided	360	20.29	22.34	22.32	21.96	21.60	22.17
GA	360	48.50	51.70	51.44	47.20	44.04	43.12
PSO	360	48.48	51.82	51.51	47.21	44.06	43.32
Regular	540	38.13	37.66	37.18	38.46	42.19	42.38
GA-guided	540	33.44	30.86	29.54	31.39	33.73	33.98
PSO-guided	540	31.80	29.80	28.63	29.96	31.50	31.55
GA	540	75.54	74.76	75.08	76.46	84.50	80.40
PSO	540	75.80	74.97	74.82	76.63	84.71	80.74
Regular	720	51.03	52.28	50.68	48.80	47.44	49.20
GA-guided	720	43.08	44.78	44.28	42.93	38.97	39.24
PSO-guided	720	41.80	42.14	41.79	39.16	37.96	38.84
GA	720	94.88	102.86	106.52	109.88	99.90	99.70
PSO	720	95.38	102.96	106.61	110.02	99.90	100.04
Regular	1080	78.87	79.11	75.54	74.76	76.22	75.78
GA-guided	1080	65.35	65.61	64.99	63.22	64.67	65.72
PSO-guided	1080	64.35	66.54	63.45	61.48	61.15	61.40
GA	1080	142.44	155.84	156.80	144.52	150.56	152.30
PSO	1080	142.50	155.83	156.92	144.80	150.69	152.26
Regular	1440	93.08	100.32	103.64	106.12	105.32	102.02
GA-guided	1440	78.24	83.54	86.20	87.45	86.87	85.49
PSO-guided	1440	74.29	82.27	83.76	87.31	87.25	86.32
GA	1440	156.76	183.32	178.36	206.00	214.78	211.36
PSO	1440	157.55	183.81	179.30	206.04	214.88	211.90
