Model,Duration (min),10,20,30,50,80,100
Regular,60,47.08,43.80,42.08,40.41,38.16,37.17
GA-guided,60,1.14,0.89,0.84,0.81,0.80,0.58
Regular,120,74.44,73.81,71.69,67.21,61.89,60.18
GA-guided,120,1.45,1.11,0.92,0.83,0.83,0.90
Regular,180,108.76,105.68,103.34,101.20,98.26,94.76
GA-guided,180,1.74,2.06,1.76,1.47,1.52,1.22
Regular,240,141.05,139.80,136.81,134.48,131.15,129.79
GA-guided,240,1.96,1.87,1.92,2.14,1.84,1.76
Regular,360,200.00,200.83,200.50,201.36,200.36,198.68
GA-guided,360,2.50,1.98,1.98,2.40,2.15,2.30
Regular,540,289.90,291.14,290.82,290.82,289.66,290.82
GA-guided,540,3.11,3.41,3.06,2.73,2.56,2.86
Regular,720,379.29,381.08,380.10,378.75,378.18,379.42
GA-guided,720,4.42,3.87,3.62,4.00,3.19,3.36
Regular,1080,557.21,556.05,558.45,559.06,558.61,557.94
GA-guided,1080,14.48,10.49,8.44,6.86,5.58,5.73
Regular,1440,730.72,734.91,733.25,735.09,736.04,735.29
GA-guided,1440,23.90,22.43,21.63,23.60,16.60,17.49
