Model,Duration (min),10,20,30,50,80,100
Regular,60,5.04,3.53,3.74,2.98,3.53,3.53
GA-guided,60,1.18,1.03,0.90,0.93,0.85,0.70
Regular,120,10.00,9.07,8.17,6.83,6.40,5.01
GA-guided,120,1.51,1.27,1.30,1.19,1.01,1.22
Regular,180,5.87,8.60,9.86,8.59,9.07,7.40
GA-guided,180,1.61,1.40,1.27,1.20,1.60,1.35
Regular,240,3.90,3.40,6.64,10.05,9.45,9.02
GA-guided,240,1.88,1.66,1.44,1.71,1.49,1.45
Regular,360,4.00,4.25,3.79,2.03,2.69,7.23
GA-guided,360,1.64,1.62,1.34,2.04,1.67,1.70
Regular,540,6.63,3.49,2.92,2.96,2.86,3.09
GA-guided,540,1.69,1.30,1.39,1.47,1.32,1.54
Regular,720,4.00,2.98,4.09,7.70,7.78,6.22
GA-guided,720,1.98,2.18,1.58,2.06,1.72,1.84
Regular,1080,5.87,5.30,5.18,5.11,4.74,5.02
GA-guided,1080,19.30,12.09,7.74,5.49,3.08,2.14
Regular,1440,13.29,10.29,10.59,6.56,5.85,5.90
GA-guided,1440,35.90,33.88,30.07,37.81,23.20,24.62
