Model	Duration (min)	10	20	30	50	80	100
Regular	60	13.46	20.10	24.06	28.30	32.40	33.93
GA-guided	60	12.52	19.54	23.75	28.32	32.19	33.81
PSO-guided	60	13.16	20.10	23.76	28.10	32.28	33.84
GA	60	19.76	26.62	31.04	34.66	39.38	40.48
PSO	60	19.76	26.62	31.04	34.66	39.38	40.48
Regular	120	16.75	26.47	32.28	39.33	45.52	48.30
GA-guided	120	15.13	25.54	31.27	38.22	44.60	47.16
PSO-guided	120	15.94	25.84	31.49	38.77	44.70	47.47
GA	120	22.78	33.28	38.72	45.50	51.54	54.64
PSO	120	22.78	33.30	38.73	45.50	51.55	54.64
Regular	180	14.50	25.56	33.34	40.04	48.59	52.29
GA-guided	180	12.41	23.93	31.50	38.28	47.18	50.94
PSO-guided	180	13.64	24.30	32.60	39.56	47.94	51.60
GA	180	20.96	32.64	40.58	47.06	55.28	60.36
PSO	180	21.00	32.64	40.59	47.06	55.29	60.36
Regular	240	11.73	23.91	31.55	41.36	50.42	55.07
GA-guided	240	9.19	21.46	29.40	39.39	48.14	52.94
PSO-guided	240	10.53	21.75	30.34	40.60	49.43	54.22
GA	240	20.16	30.94	39.46	49.24	58.40	63.86
PSO	240	20.14	31.01	39.44	49.26	58.42	63.88
Regular	360	5.98	16.34	25.08	37.27	48.54	52.36
GA-guided	360	2.95	13.12	21.86	33.47	45.47	49.69
PSO-guided	360	4.28	14.57	23.11	34.63	46.65	50.57
GA	360	21.72	29.16	36.42	47.38	58.92	62.72
PSO	360	21.70	29.21	36.44	47.38	58.92	62.75
Regular	540	2.37	5.32	8.89	17.88	28.52	32.87
GA-guided	540	0.12	1.98	5.57	14.37	24.78	29.05
PSO-guided	540	0.52	3.02	6.53	15.12	26.11	30.31
GA	540	30.48	31.30	33.00	37.60	48.16	50.86
PSO	540	30.58	31.35	32.88	37.64	48.20	50.96
Regular	720	2.07	2.64	2.92	4.42	6.44	10.01
GA-guided	720	0.12	0.12	0.10	1.26	2.60	6.15
PSO-guided	720	0.09	0.42	0.63	1.72	4.08	7.69
GA	720	35.98	39.40	41.68	44.96	40.98	42.16
PSO	720	36.14	39.40	41.68	44.98	40.95	42.27
Regular	1080	2.64	2.96	2.61	2.96	3.50	3.67
GA-guided	1080	0.26	0.28	0.28	0.32	0.20	0.12
PSO-guided	1080	0.05	0.18	0.03	0.12	0.50	0.51
GA	1080	50.30	57.66	59.42	53.46	55.46	56.58
PSO	1080	50.28	57.63	59.43	53.50	55.50	56.50
Regular	1440	1.44	2.66	3.50	4.02	3.46	3.12
GA-guided	1440	0.46	0.38	0.35	0.33	0.30	0.30
PSO-guided	1440	0.17	0.12	0.10	0.05	0.02	0.11
GA	1440	53.32	63.56	61.78	74.70	79.82	80.40
PSO	1440	53.58	63.68	62.08	74.62	79.84	80.52
