combo_id,w1,w2,w3,w4,algo,seed,n_scen,overflow_rate,mean_max_level_m,mean_n_switches,mean_pump_use,mean_n_dryrun_proxy,elapsed_s
c16,0.583,0.074,0.264,0.08,PSO,2,30,0.0,5.184,116.967,301.467,0.9,16.7
c14,0.373,0.166,0.184,0.278,GA,1,30,0.0,5.5514,112.433,296.967,0.0,179.8
c14,0.373,0.166,0.184,0.278,GA,2,30,0.0,5.5514,112.433,296.967,0.0,180.2
c17,0.047,0.336,0.531,0.085,PSO,1,30,1.0,10.0,0.0,0.0,0.0,17.1
c15,0.187,0.313,0.281,0.219,GA,2,30,1.0,10.0,0.0,0.0,0.0,167.3
c15,0.187,0.313,0.281,0.219,GA,1,30,1.0,10.0,0.0,0.0,0.0,167.4
c17,0.047,0.336,0.531,0.085,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.6
c18,0.122,0.048,0.434,0.395,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.9
c18,0.122,0.048,0.434,0.395,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.7
c16,0.583,0.074,0.264,0.08,GA,1,30,0.0,5.1783,116.767,301.467,0.9,180.0
c16,0.583,0.074,0.264,0.08,GA,2,30,0.0,5.1783,116.767,301.467,0.9,178.3
c17,0.047,0.336,0.531,0.085,GA,2,30,1.0,10.0,0.0,0.0,0.0,167.1
c17,0.047,0.336,0.531,0.085,GA,1,30,1.0,10.0,0.0,0.0,0.0,168.2
c19,0.143,0.557,0.214,0.086,PSO,1,30,1.0,10.0,0.0,0.0,0.0,17.0
c19,0.143,0.557,0.214,0.086,PSO,2,30,1.0,10.0,0.0,0.0,0.0,17.0
c18,0.122,0.048,0.434,0.395,GA,1,30,1.0,10.0,0.0,0.0,0.0,167.4
c18,0.122,0.048,0.434,0.395,GA,2,30,1.0,10.0,0.0,0.0,0.0,166.9
c20,0.087,0.421,0.285,0.207,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.9
c20,0.087,0.421,0.285,0.207,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.8
c19,0.143,0.557,0.214,0.086,GA,1,30,1.0,10.0,0.0,0.0,0.0,169.1
c19,0.143,0.557,0.214,0.086,GA,2,30,1.0,10.0,0.0,0.0,0.0,168.6
c21,0.257,0.304,0.135,0.303,PSO,1,30,0.0,8.7,15.4,266.7,0.0,17.0
c21,0.257,0.304,0.135,0.303,PSO,2,30,0.0,8.7,15.4,266.7,0.0,16.9
c22,0.585,0.1,0.131,0.184,PSO,1,30,0.0,5.1814,117.467,301.4,0.0,17.1
c22,0.585,0.1,0.131,0.184,PSO,2,30,0.0,5.1871,117.667,301.4,0.0,17.2
c20,0.087,0.421,0.285,0.207,GA,1,30,1.0,10.0,0.0,0.0,0.0,165.3
c20,0.087,0.421,0.285,0.207,GA,2,30,1.0,10.0,0.0,0.0,0.0,165.8
c23,0.413,0.167,0.025,0.395,PSO,1,30,0.0,5.1814,117.467,301.4,0.0,16.5
c23,0.413,0.167,0.025,0.395,PSO,2,30,0.0,5.1871,117.667,301.4,0.0,16.5
c21,0.257,0.304,0.135,0.303,GA,1,30,0.0,8.7,15.4,266.7,0.0,178.6
c21,0.257,0.304,0.135,0.303,GA,2,30,0.0,8.7,15.4,266.7,0.0,178.8
c24,0.4,0.25,0.25,0.1,PSO,1,30,0.0,6.3221,60.467,280.733,0.1,16.7
c24,0.4,0.25,0.25,0.1,PSO,2,30,0.0,6.3219,60.2,280.6,0.1333,16.5
c22,0.585,0.1,0.131,0.184,GA,1,30,0.0,5.1814,117.467,301.4,0.0,176.6
c22,0.585,0.1,0.131,0.184,GA,2,30,0.0,5.1814,117.467,301.4,0.0,176.9
c25,1.0,0.0,0.0,0.0,PSO,1,30,0.0,4.9174,343.7,900.033,240.1667,16.9
c25,1.0,0.0,0.0,0.0,PSO,2,30,0.0,4.9174,337.2,899.2,240.2333,16.8
c23,0.413,0.167,0.025,0.395,GA,1,30,0.0,5.1814,117.467,301.4,0.0,177.3
c23,0.413,0.167,0.025,0.395,GA,2,30,0.0,5.1814,117.467,301.4,0.0,176.4
c26,0.0,1.0,0.0,0.0,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.6
c26,0.0,1.0,0.0,0.0,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.7
c24,0.4,0.25,0.25,0.1,GA,1,30,0.0,6.3221,60.467,280.733,0.1,178.3
c24,0.4,0.25,0.25,0.1,GA,2,30,0.0,6.3221,60.467,280.733,0.1,178.2
c27,0.0,0.0,1.0,0.0,PSO,1,30,1.0,10.0,0.0,0.0,0.0,16.6
c27,0.0,0.0,1.0,0.0,PSO,2,30,1.0,10.0,0.0,0.0,0.0,16.5
c26,0.0,1.0,0.0,0.0,GA,1,30,1.0,10.0,0.0,0.0,0.0,165.0
c26,0.0,1.0,0.0,0.0,GA,2,30,1.0,10.0,0.0,0.0,0.0,165.5
c28,0.0,0.0,0.0,1.0,PSO,1,30,0.2333,8.3087,314.733,273.733,0.0,16.4
c28,0.0,0.0,0.0,1.0,PSO,2,30,0.2333,8.3415,313.667,276.567,0.0,16.4
c27,0.0,0.0,1.0,0.0,GA,2,30,1.0,10.0,0.0,0.0,0.0,164.2
c27,0.0,0.0,1.0,0.0,GA,1,30,1.0,10.0,0.0,0.0,0.0,165.3
c25,1.0,0.0,0.0,0.0,GA,1,30,0.0,4.9174,328.033,838.8,241.8667,210.8
c25,1.0,0.0,0.0,0.0,GA,2,30,0.0,4.9174,327.633,843.533,241.6,211.3
c28,0.0,0.0,0.0,1.0,GA,1,30,0.3333,8.5197,282.4,282.367,0.0,165.5
c28,0.0,0.0,0.0,1.0,GA,2,30,0.3667,8.3818,281.2,282.733,0.0,165.9
