return_period,model,n_seeds,max_level_m_mean,max_level_m_std,max_level_m_ci95_half,max_level_m_ci95_lo,max_level_m_ci95_hi,n_switches_mean,n_switches_std,n_switches_ci95_half,n_switches_ci95_lo,n_switches_ci95_hi,n_intervals_100_mean,n_intervals_100_std,n_intervals_100_ci95_half,n_intervals_100_ci95_lo,n_intervals_100_ci95_hi,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half,n_intervals_170_ci95_lo,n_intervals_170_ci95_hi,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half,n_dryrun_proxy_ci95_lo,n_dryrun_proxy_ci95_hi,cum_reward_mean,cum_reward_std,cum_reward_ci95_half,cum_reward_ci95_lo,cum_reward_ci95_hi,overflow_flag_mean,overflow_flag_std,overflow_flag_ci95_half,overflow_flag_ci95_lo,overflow_flag_ci95_hi,scope
10,GA-guided,5,10.0,0.0,0.0,10.0,10.0,0.010666666666666668,0.02385139175999776,0.029615414455443186,-0.018948747788776518,0.040282081122109854,0.005333333333333334,0.01192569587999888,0.014807707227721593,-0.009474373894388259,0.020141040561054927,0.0,0.0,0.0,0.0,0.0,0.005333333333333334,0.01192569587999888,0.014807707227721593,-0.009474373894388259,0.020141040561054927,189.3650716666667,0.003566528424106633,0.00442842994278362,189.36064323672392,189.36950009660947,1.0,0.0,0.0,1.0,1.0,by_return_period
10,GA-only,5,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.3666666666667,0.0,0.0,189.3666666666667,189.3666666666667,1.0,0.0,0.0,1.0,1.0,by_return_period
10,PSO-guided,5,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.3666666666667,0.0,0.0,189.3666666666667,189.3666666666667,1.0,0.0,0.0,1.0,1.0,by_return_period
10,PSO-only,5,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.3666666666667,0.0,0.0,189.3666666666667,189.3666666666667,1.0,0.0,0.0,1.0,1.0,by_return_period
10,Regular,5,9.994939118905133,0.007261369656469733,0.009016181280087718,9.985922937625046,10.00395530018522,2.2075555555555555,3.45890213082378,4.294794249154181,-2.087238693598626,6.502349804709737,59.936888888888895,58.31367636210393,72.40599254173043,-12.469103652841532,132.34288143061931,7.424888888888889,16.602556280938437,20.614796412193076,-13.189907523304187,28.039685301081967,0.16533333333333333,0.36598117741520836,0.4544256520166896,-0.2890923186833563,0.6197589853500229,191.65321573120374,2.285745357487829,2.8381277194540355,188.8150880117497,194.49134345065778,0.9933333333333334,0.009428090415820635,0.01170652044113446,0.981626812892199,1.0050398537744678,by_return_period
20,GA-guided,5,10.0,0.0,0.0,10.0,10.0,0.04444444444444444,0.062142806462709164,0.07716048553209033,-0.03271604108764589,0.12160492997653477,0.02088888888888889,0.03037217700136869,0.03771203872967193,-0.01682314984078304,0.058600927618560825,0.0017777777777777779,0.003975231959999627,0.004935902409240532,-0.003158124631462754,0.00671368018701831,0.019111111111111113,0.029380433566290505,0.03648062661088041,-0.017369515499769297,0.055591737721991524,189.36043726102986,0.008988520145878073,0.011160721862266071,189.3492765391676,189.37159798289213,1.0,0.0,0.0,1.0,1.0,by_return_period
20,GA-only,5,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.3666666666667,0.0,0.0,189.3666666666667,189.3666666666667,1.0,0.0,0.0,1.0,1.0,by_return_period
20,PSO-guided,5,10.0,0.0,0.0,10.0,10.0,0.052000000000000005,0.07275190379758346,0.09033341974624327,-0.03833341974624327,0.14233341974624328,0.7706666666666667,1.6400951493024518,2.036447100517486,-1.2657804338508192,2.8071137671841524,0.0,0.0,0.0,0.0,0.0,0.015111111111111112,0.03378947165999682,0.04195517047854451,-0.0268440593674334,0.05706628158965562,189.38873965039323,0.06458910430142946,0.08019796548731299,189.30854168490592,189.46893761588055,1.0,0.0,0.0,1.0,1.0,by_return_period
20,PSO-only,5,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.3666666666667,0.0,0.0,189.3666666666667,189.3666666666667,1.0,0.0,0.0,1.0,1.0,by_return_period
20,Regular,5,10.0,0.0,0.0,10.0,10.0,2.006666666666667,2.5496380764703948,3.1657938080027908,-1.159127141336124,5.172460474669458,78.85066666666668,60.67797129920919,75.34165244626948,3.509014220397205,154.19231911293616,5.995555555555556,12.031175963376498,14.938678049779114,-8.943122494223559,20.93423360533467,0.11155555555555556,0.2176269318845475,0.270219526360586,-0.15866397080503042,0.38177508191614157,192.4214052495649,2.397939347074003,2.9774349571380356,189.44397029242688,195.39884020670294,1.0,0.0,0.0,1.0,1.0,by_return_period
