model_a,model_b,metric,n_pairs,n_nonzero,mean_a,mean_b,mean_diff,W,p,rank_biserial,cliffs_delta,duration_min,GAguided_mean,GAguided_std,Regular_mean,Regular_std,p_holm
GA-guided,Regular,n_dryrun_proxy,1500,22,0.0033333333333333335,0.016,-0.012666666666666666,42.5,0.004205828206814752,-0.6640316205533597,-0.008013333333333317,60,0.003333333333333333,0.005773502691896258,0.016,0.022410315085295483,0.016823312827259008
GA-guided,Regular,n_dryrun_proxy,1500,171,0.06266666666666666,0.054,0.008666666666666666,6762.5,0.29772626216793363,0.08030735754113967,0.009951555555555602,120,0.06266666666666668,0.0957253014272263,0.054000000000000006,0.08049844718999244,0.29772626216793363
GA-guided,Regular,n_dryrun_proxy,1500,88,0.05466666666666667,0.03,0.024666666666666667,1387.0,0.014037581921870155,0.2916241062308478,0.022501777777777843,180,0.05466666666666666,0.1222383827699885,0.03,0.04422166387140533,0.042112745765610464
GA-guided,Regular,n_dryrun_proxy,1500,71,0.06533333333333333,0.02266666666666667,0.042666666666666665,722.0,0.0011943160700555243,0.4350547730829421,0.031075555555555523,240,0.06533333333333333,0.1405663149153768,0.022666666666666665,0.050684207489995234,0.005971580350277622
GA-guided,Regular,n_dryrun_proxy,1500,25,0.005333333333333333,0.016666666666666666,-0.011333333333333334,80.0,0.018956096614172007,-0.5076923076923077,-0.006021333333333323,360,0.005333333333333334,0.01192569587999888,0.016666666666666666,0.037267799624996496,0.042112745765610464
GA-guided,Regular,n_dryrun_proxy,1500,18,0.0,0.015333333333333332,-0.015333333333333332,0.0,9.400134600921741e-05,-1.0,-0.01200000000000001,540,0.0,0.0,0.015333333333333334,0.021029080394116672,0.0005640080760553045
GA-guided,Regular,n_dryrun_proxy,1500,107,0.0,0.11133333333333334,-0.11133333333333334,0.0,2.2580496319082803e-20,-1.0,-0.07133333333333336,720,0.0,0.0,0.11133333333333333,0.24894890149497656,1.5806347423357962e-19
GA-guided,Regular,n_dryrun_proxy,1500,168,0.0,0.22866666666666666,-0.22866666666666666,0.0,5.0517709286194154e-30,-1.0,-0.11199999999999999,1080,0.0,0.0,0.22866666666666666,0.5113142108549519,4.0414167428955323e-29
GA-guided,Regular,n_dryrun_proxy,1500,292,0.0,0.41,-0.41,0.0,1.010693932544328e-51,-1.0,-0.19466666666666665,1440,0.0,0.0,0.41,0.7956758133813042,9.096245392898952e-51
